GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.59537,20,16,2,0.99,40,0,0,0,0,0,297,1,0.44428,1,0.494172,1,0.369231
1,252,1,7.51089,20,16,1.95,0.99,56,0,0,16,0.738253,1,297,1,0.474391,1,0.494172,1,0.458034
2,327,2,7.44777,20,16,1.855,0.99,72,0,0,16,0.677814,1.7,297,1,0.480926,1,0.495349,1,0.466667
3,402,3,7.3911,20,16,1.7695,0.99,88,0,0,16,0.718096,2,297,1,0.487812,1,0.5,1,0.474699
4,476,4,7.38119,20,16,1.69255,0.99,104,0,0,16,0.702144,2.45,297,1,0.493129,1,0.519362,1,0.484778
5,551,5,7.34453,20,16,1.62329,0.99,120,0,0,16,0.667426,2.95,297,1,0.49419,1,0.519362,1,0.487119
6,628,6,7.3326,20,16,1.56097,0.99,136,0,0,16,0.659679,3.1,297,1,0.497754,1,0.519362,1,0.49061
7,701,7,7.34188,20,16,1.50487,0.99,152,0,0,16,0.653362,3.4,297,1,0.499277,1,0.519362,1,0.492925
8,774,8,7.33079,20,16,1.45438,0.99,168,0,0,16,0.64035,3.65,297,1,0.500795,1,0.519362,1,0.494172
9,843,9,7.29972,20,16,1.40894,0.99,184,0,0,16,0.636785,3.4,297,1,0.503557,1,0.519362,1,0.498834
10,916,10,7.33787,20,16,1.36805,0.99,200,0,0,16,0.633546,3.4,297,1,0.505214,1,0.519362,1,0.5
11,989,11,7.35206,20,16,1.33124,0.99,216,0,0,16,0.63317,3.5,297,1,0.507671,1,0.519362,1,0.5
12,1064,12,7.33047,20,16,1.29812,0.99,232,0,0,16,0.635498,3.35,297,1,0.509733,1,0.519362,1,0.502326
13,1139,13,7.31131,20,16,1.26831,0.99,248,0,0,16,0.628469,3.85,297,1,0.51153,1,0.521348,1,0.503464
14,1213,14,7.31304,20,16,1.24148,0.892,264,0,0,16,0.614683,3.55,297,1,0.512623,1,0.521348,1,0.504695
15,1278,15,7.19106,20,16,1.21733,0.9018,279,0,1,16,0.615368,3.2,297,1,0.515584,1,0.521348,1,0.511521
16,1343,16,7.06737,20,16,1.1956,0.91062,295,0,1,16,0.62347,2.75,297,1,0.518894,1,0.530892,1,0.513953
17,1408,17,7.05053,20,16,1.17604,0.918558,311,0,1,16,0.762922,2.45,297,1,0.522586,1,0.539503,1,0.518018
18,1471,18,7.0429,20,16,1.15843,0.925702,327,0,1,16,0.713402,2.5,297,1,0.526123,1,0.540541,1,0.519274
19,1536,19,6.94978,20,16,1.14259,0.932132,342,0,2,16,0.701953,2.25,297,1,0.530583,1,0.551339,1,0.522727
20,1600,20,6.7504,20,16,1.12833,0.937919,358,0,2,16,0.722855,1.95,297,1,0.535645,1,0.551339,1,0.526196
21,1664,21,6.7504,20,16,1.1155,0.943127,374,0,2,16,0.72453,2.1,297,1,0.539618,1,0.551339,1,0.532731
22,1726,22,6.60424,20,16,1.10395,0.947814,390,0,2,16,0.725495,2.25,297,1,0.543996,1,0.551339,1,0.539503
23,1790,23,6.64927,20,16,1.09355,0.952033,406,0,2,16,0.722024,2.2,297,1,0.54556,1,0.551339,1,0.541761
24,1852,24,6.65263,20,16,1.0842,0.95583,422,0,2,16,0.716826,2.45,297,1,0.547453,1,0.551339,1,0.544018
25,1914,25,6.64846,20,16,1.07578,0.959247,438,0,2,16,0.723359,2.8,297,1,0.54966,1,0.561521,1,0.545657
26,1975,26,6.68216,20,16,1.0682,0.962322,454,0,2,16,0.710877,2.9,297,1,0.551885,1,0.561521,1,0.547085
27,2039,27,6.67999,20,16,1.06138,0.96509,470,0,2,16,0.701061,3.35,297,1,0.552678,1,0.561521,1,0.548533
28,2100,28,6.74435,20,16,1.05524,0.967581,486,0,2,16,0.695162,3.15,297,1,0.554313,1,0.561521,1,0.551339
