GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Avg_f2,pop1_Avg_f3,pop1_Avg_f4,pop1_Best_f0,pop1_Best_f1,pop1_Best_f2,pop1_Best_f3,pop1_Best_f4,pop1_Worst_f0,pop1_Worst_f1,pop1_Worst_f2,pop1_Worst_f3,pop1_Worst_f4
0,0,0,7.29634,20,16,2,0.99,40,0,0,0,0,0,90,1,0.299548,9867.35,993.6,0.278947,1,0.367347,9869,996,0.295617,1,0.230769,9866,994,0.29697
1,68,1,7.10264,20,16,1.95,0.99,56,0,0,16,0.675293,1,90,1,0.330341,9867.15,994.2,0.282379,1,0.367347,9869,996,0.295617,1,0.315789,9872,994,0.247706
2,89,2,7.07125,20,16,1.855,0.99,72,0,0,16,0.648718,1.85,90,1,0.333944,9867.75,994.45,0.285395,1,0.367347,9869,996,0.295617,1,0.322917,9870,994,0.27421
3,109,3,7.05044,20,16,1.7695,0.99,88,0,0,16,0.644782,2.45,90,1,0.33792,9867.15,994.55,0.285651,1,0.367347,9869,996,0.295617,1,0.326316,9871,995,0.258919
4,129,4,7.02795,20,16,1.69255,0.99,104,0,0,16,0.623185,2.9,90,1,0.340848,9867.1,994.25,0.284283,1,0.367347,9869,996,0.295617,1,0.329897,9865,991,0.266266
5,149,5,6.99313,20,16,1.65792,0.892,120,0,0,16,0.602763,3.45,90,1,0.342223,9867.65,994.55,0.287543,1,0.367347,9869,996,0.295617,1,0.329897,9869,992,0.267074
6,167,6,6.82455,20,16,1.59213,0.9018,135,0,1,16,0.599858,2.9,90,1,0.346832,9868.5,994.85,0.288198,1,0.367347,9869,996,0.295617,1,0.333333,9869,994,0.312946
7,185,7,6.69989,20,16,1.53292,0.91062,148,1,3,16,0.603838,3.1,90,1,0.354504,9867.9,994.95,0.288123,1,0.367347,9869,996,0.295617,1,0.340206,9870,996,0.285423
8,202,8,6.7337,20,16,1.47963,0.918558,163,1,4,16,0.615235,3.5,90,1,0.356863,9867.8,994.95,0.28943,1,0.367347,9872,993,0.287462,1,0.350515,9868,996,0.289501
9,219,9,6.75393,20,16,1.43166,0.925702,179,1,4,16,0.607839,3.5,90,1,0.359359,9866.1,995,0.293361,1,0.367347,9872,993,0.287462,1,0.350515,9873,995,0.27421
10,237,10,6.61883,20,16,1.3885,0.932132,195,1,4,16,0.596574,3.7,90,1,0.360864,9864.55,995,0.299367,1,0.367347,9872,993,0.287462,1,0.353535,9860,995,0.291188
11,254,11,6.5849,20,16,1.34965,0.937919,210,1,5,16,0.590314,3.65,90,1,0.362245,9865.45,994.75,0.298095,1,0.367347,9872,993,0.287462,1,0.357143,9857,996,0.333333
12,273,12,6.6022,20,16,1.31468,0.943127,225,1,6,16,0.593555,3.65,90,1,0.363398,9866.8,994.75,0.292422,1,0.37,9858,995,0.311676,1,0.357143,9862,995,0.314815
13,291,13,6.52282,20,16,1.28321,0.947814,241,1,6,16,0.590512,3.55,90,1,0.366406,9867.55,994.9,0.293412,1,0.377551,9867,997,0.276249,1,0.357143,9865,994,0.285285
14,309,14,6.51719,20,16,1.25489,0.952033,257,1,6,16,0.594369,4,90,1,0.368202,9866.5,995.1,0.295599,1,0.377551,9867,997,0.276249,1,0.363636,9857,996,0.338002
15,327,15,6.55342,20,16,1.2294,0.95583,273,1,6,16,0.58595,4.3,90,1,0.368388,9867.7,994.9,0.289865,1,0.377551,9867,997,0.276249,1,0.367347,9866,996,0.29899
16,344,16,6.60067,20,16,1.20646,0.959247,289,1,6,16,0.588853,3.8,90,1,0.369031,9867.95,994.9,0.289477,1,0.377551,9867,997,0.276249,1,0.367347,9869,996,0.281346
17,363,17,6.58004,20,16,1.18582,0.962322,305,1,6,16,0.584644,3.75,90,1,0.369483,9867.3,994.45,0.289589,1,0.377551,9867,997,0.276249,1,0.367347,9869,996,0.294597
18,381,18,6.60226,20,16,1.16724,0.96509,321,1,6,16,0.582024,4.1,90,1,0.369748,9866.7,994.7,0.291811,1,0.377551,9867,997,0.276249,1,0.367347,9870,992,0.259939
19,400,19,6.58314,20,16,1.15051,0.967581,337,1,6,16,0.577364,4.4,90,1,0.371025,9866.8,995.15,0.296805,1,0.383838,9870,997,0.291539,1,0.367347,9871,996,0.289501
