GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Avg_f2,pop1_Avg_f3,pop1_Avg_f4,pop1_Best_f0,pop1_Best_f1,pop1_Best_f2,pop1_Best_f3,pop1_Best_f4,pop1_Worst_f0,pop1_Worst_f1,pop1_Worst_f2,pop1_Worst_f3,pop1_Worst_f4
0,0,0,7.29634,20,16,2,0.99,40,0,0,0,0,0,90,1,0.299548,0.278947,993.6,9867.35,1,0.367347,0.295617,996,9869,1,0.230769,0.29697,994,9866
1,68,1,7.0926,20,16,1.95,0.99,56,0,0,16,0.685193,1,90,1,0.330341,0.285947,994.2,9866.9,1,0.367347,0.295617,996,9869,1,0.315789,0.319062,994,9867
2,90,2,7.08819,20,16,1.855,0.99,72,0,0,16,0.636722,1.85,90,1,0.333774,0.285673,994.45,9866.7,1,0.367347,0.295617,996,9869,1,0.322917,0.277778,993,9858
3,110,3,7.0542,20,16,1.7695,0.99,88,0,0,16,0.62243,2.4,90,1,0.336194,0.287361,994.25,9865.85,1,0.367347,0.295617,996,9869,1,0.326316,0.276249,993,9871
4,130,4,6.98248,20,16,1.73102,0.99,104,0,0,16,0.596131,3,90,1,0.338632,0.288406,994.35,9865.45,1,0.367347,0.295617,996,9869,1,0.329897,0.275229,991,9872
5,149,5,7.00031,20,16,1.69447,0.99,119,0,1,16,0.590885,3.55,90,1,0.340687,0.289942,994.65,9864.45,1,0.367347,0.295617,996,9869,1,0.329897,0.286286,995,9865
6,168,6,7.00069,20,16,1.62503,0.892,135,0,1,16,0.554265,3.9,90,1,0.34189,0.289804,994.8,9865.15,1,0.367347,0.295617,996,9869,1,0.329897,0.291667,995,9864
7,186,7,6.77819,20,16,1.56252,0.9018,151,0,1,16,0.575686,3.3,90,1,0.34992,0.290607,994.8,9865.75,1,0.367347,0.295617,996,9869,1,0.333333,0.304143,995,9858
8,205,8,6.5692,20,16,1.50627,0.91062,167,0,1,16,0.582468,3.25,90,1,0.353798,0.285648,995.05,9865.85,1,0.367347,0.295617,996,9869,1,0.346939,0.286648,994,9857
9,223,9,6.47237,20,16,1.45564,0.918558,183,0,1,16,0.58805,3.6,90,1,0.35485,0.288004,995.3,9867.65,1,0.367347,0.295617,996,9869,1,0.350515,0.268687,993,9866
10,241,10,6.59461,20,16,1.41008,0.925702,199,0,1,16,0.600928,3.15,90,1,0.360345,0.288524,995.65,9868.4,1,0.383838,0.282365,996,9873,1,0.350515,0.294597,996,9867
11,258,11,6.6075,20,16,1.36907,0.932132,215,0,1,16,0.598203,3.05,90,1,0.363316,0.285652,995.55,9868.9,1,0.383838,0.282365,996,9873,1,0.350515,0.303772,996,9868
12,276,12,6.54214,20,16,1.33216,0.937919,231,0,1,16,0.60062,3.1,90,1,0.366194,0.282844,995.4,9869.7,1,0.383838,0.282365,996,9873,1,0.357143,0.292559,996,9870
13,293,13,6.45105,20,16,1.29895,0.943127,246,0,2,16,0.603012,2.7,90,1,0.369476,0.286705,995.05,9868.2,1,0.383838,0.289077,994,9858,1,0.363636,0.288699,994,9859
14,311,14,6.46274,20,16,1.26905,0.947814,262,0,2,16,0.612263,2.25,90,1,0.373331,0.290547,995.35,9869.05,1,0.383838,0.308967,996,9862,1,0.367347,0.277268,994,9872
15,328,15,6.5351,20,16,1.24215,0.952033,276,0,4,16,0.623044,2.4,90,1,0.380028,0.292757,995.4,9867.2,1,0.4,0.313668,996,9863,1,0.367347,0.309888,996,9871
16,345,16,6.48501,20,16,1.21793,0.95583,292,0,4,16,0.626844,2.5,90,1,0.384753,0.290317,995.35,9867.15,1,0.4,0.313668,996,9863,1,0.373737,0.269157,994,9860
17,363,17,6.53107,20,16,1.19614,0.959247,308,0,4,16,0.62298,2.9,90,1,0.386571,0.295458,995.4,9866.25,1,0.4,0.313668,996,9863,1,0.383838,0.272171,995,9873
18,381,18,6.5266,20,16,1.17653,0.962322,324,0,4,16,0.619783,3.55,90,1,0.387581,0.301385,995.25,9864.1,1,0.4,0.313668,996,9863,1,0.383838,0.282365,996,9873
19,398,19,6.51257,20,16,1.15887,0.96509,340,0,4,16,0.613977,3.7,90,1,0.388389,0.302503,995.3,9862.9,1,0.4,0.313668,996,9863,1,0.383838,0.284404,996,9872
20,416,20,6.52178,20,16,1.14299,0.967581,356,0,4,16,0.605556,3.9,90,1,0.388389,0.304983,995.25,9862.4,1,0.4,0.313668,996,9863,1,0.383838,0.294118,994,9857
21,435,21,6.51933,20,16,1.12869,0.969823,372,0,4,16,0.595242,4.4,90,1,0.388894,0.306659,995.25,9862.5,1,0.4,0.313668,996,9863,1,0.383838,0.294727,994,9858
22,453,22,6.5461,20,16,1.11582,0.97184,388,0,4,16,0.590032,5.1,90,1,0.389504,0.30757,995.4,9863,1,0.4,0.313668,996,9863,1,0.383838,0.299902,994,9863
23,471,23,6.42664,20,16,1.10424,0.973656,404,0,4,16,0.58617,5.2,90,1,0.391114,0.308455,995.6,9862.9,1,0.405941,0.269565,996,9861,1,0.383838,0.308642,996,9859
24,490,24,6.46479,20,16,1.09381,0.975291,420,0,4,16,0.579076,5.7,90,1,0.391724,0.308654,995.65,9863.2,1,0.405941,0.269565,996,9861,1,0.383838,0.308642,996,9859
25,508,25,6.58192,20,16,1.08443,0.976762,436,0,4,16,0.576599,4.7,90,1,0.391827,0.3109,995.65,9862.75,1,0.405941,0.269565,996,9861,1,0.383838,0.312946,996,9869
26,526,26,6.44666,20,16,1.07599,0.978085,452,0,4,16,0.57117,4.4,90,1,0.392024,0.311227,995.7,9861.55,1,0.405941,0.269565,996,9861,1,0.383838,0.314176,996,9860
27,545,27,6.34492,20,16,1.06839,0.979277,468,0,4,16,0.568254,4.6,90,1,0.392534,0.308899,995.55,9861.55,1,0.405941,0.269565,996,9861,1,0.383838,0.314651,996,9863
28,563,28,6.39287,20,16,1.06155,0.980349,484,0,4,16,0.565288,4.1,90,1,0.393238,0.308511,995.7,9861.8,1,0.405941,0.269565,996,9861,1,0.383838,0.314651,996,9863
29,581,29,6.39522,20,16,1.0554,0.883314,500,0,4,16,0.559077,4.6,90,1,0.39243,0.309661,995.65,9862.1,1,0.405941,0.269565,996,9861,1,0.383838,0.307768,996,9863
30,598,30,6.4236,20,16,1.04986,0.893983,516,0,4,16,0.560005,4.45,90,1,0.396551,0.308789,995.7,9862.75,1,0.411765,0.333333,996,9866,1,0.383838,0.327485,995,9862
31,615,31,6.40524,20,16,1.04487,0.903585,532,0,4,16,0.562298,4.4,90,1,0.399446,0.310961,995.9,9863.65,1,0.411765,0.333333,996,9866,1,0.393939,0.294686,996,9861
32,632,32,6.41197,20,16,1.04038,0.912226,548,0,4,16,0.560858,4.4,90,1,0.400046,0.313125,995.75,9863.75,1,0.411765,0.333333,996,9866,1,0.393939,0.297585,996,9861
33,649,33,6.4064,20,16,1.03635,0.822004,563,0,5,16,0.555862,4.4,90,1,0.399341,0.315376,995.85,9864.25,1,0.411765,0.333333,996,9866,1,0.383838,0.307307,996,9865
34,666,34,6.37722,20,16,1.03271,0.838803,579,0,5,16,0.557621,3.5,90,1,0.403235,0.319069,996,9865.1,1,0.411765,0.333333,996,9866,1,0.4,0.302682,996,9860
35,682,35,5.96954,20,16,1.02944,0.853923,594,0,6,16,0.562313,2.9,90,1,0.40579,0.323883,996.35,9867.3,1,0.411765,0.333333,996,9866,1,0.401961,0.304791,997,9869
36,698,36,5.94123,20,16,1.0265,0.867531,607,0,9,16,0.564183,2.65,90,1,0.408322,0.326747,996.15,9866.55,1,0.417476,0.333333,996,9865,1,0.401961,0.32212,997,9867
37,715,37,5.90797,20,16,1.02385,0.879778,623,0,9,16,0.566013,3.05,90,1,0.409787,0.328072,996,9866.4,1,0.417476,0.334334,996,9865,1,0.401961,0.328373,996,9864
38,731,38,5.91671,20,16,1.02146,0.8908,639,0,9,16,0.563977,3.65,90,1,0.410762,0.327499,996,9866.8,1,0.417476,0.334334,996,9865,1,0.401961,0.340404,996,9866
39,748,39,5.91316,20,16,1.01932,0.80272,655,0,9,16,0.558334,4.45,90,1,0.411252,0.326792,996,9866.8,1,0.417476,0.334334,996,9865,1,0.401961,0.340469,996,9868
40,764,40,5.84361,20,16,1.01738,0.821448,670,0,10,16,0.558125,4.3,90,1,0.413963,0.32792,996,9866.2,1,0.421569,0.314985,996,9870,1,0.405941,0.313965,996,9871
41,781,41,5.78597,20,16,1.01565,0.838303,684,0,12,16,0.559812,3.85,90,1,0.415396,0.32902,996,9866.1,1,0.421569,0.314985,996,9870,1,0.411765,0.324324,996,9865
42,797,42,5.78597,20,16,1.01408,0.755473,700,0,12,16,0.557294,4.85,90,1,0.415396,0.32902,996,9866.1,1,0.421569,0.314985,996,9870,1,0.411765,0.324324,996,9865
43,813,43,5.77563,20,16,1.01267,0.778925,713,0,15,16,0.553916,4.65,90,1,0.415967,0.329272,996,9866.2,1,0.421569,0.314985,996,9870,1,0.411765,0.331313,996,9866
44,829,44,5.79569,20,16,1.01141,0.800033,729,0,15,16,0.552943,4.65,90,1,0.416538,0.329119,996,9866.15,1,0.421569,0.314985,996,9870,1,0.411765,0.333333,996,9866
45,845,45,5.85394,20,16,1.01026,0.81903,743,1,16,16,0.550868,5.05,90,1,0.417028,0.328252,996,9866.45,1,0.421569,0.314985,996,9870,1,0.411765,0.338338,996,9865
46,861,46,5.87806,20,16,1.00924,0.836127,758,1,17,16,0.547948,4.8,90,1,0.417314,0.327141,996,9866.6,1,0.421569,0.314985,996,9870,1,0.411765,0.340469,996,9867
47,878,47,5.89111,20,16,1.00878,0.836127,774,1,17,16,0.547376,5,90,1,0.417885,0.32593,996,9866.35,1,0.421569,0.314985,996,9870,1,0.417476,0.321212,996,9866
48,895,48,5.8882,20,16,1.0079,0.851514,789,1,18,16,0.545876,5.4,90,1,0.417885,0.326386,996,9866.25,1,0.421569,0.314985,996,9870,1,0.417476,0.321212,996,9866
49,911,49,5.89122,20,16,1.00711,0.865363,804,1,19,16,0.545164,5.4,90,1,0.417885,0.328155,996,9866.05,1,0.421569,0.314985,996,9870,1,0.417476,0.324242,996,9866
50,928,50,5.87132,20,16,1.0064,0.877826,820,1,19,16,0.544857,4.71429,90,1,0.417127,0.32874,996,9866.05,1,0.421569,0.314985,996,9870,1,0.401961,0.335335,996,9865
51,944,51,5.90651,20,16,1.00608,0.791044,836,1,19,16,0.541643,4.2381,90,1,0.416305,0.328345,996,9866.05,1,0.421569,0.314985,996,9870,1,0.401961,0.335335,996,9865
52,961,52,5.85856,20,16,1.00577,0.791044,851,1,20,16,0.54033,4.33333,90,1,0.417866,0.329282,996,9865.81,1,0.421569,0.314985,996,9870,1,0.417476,0.327381,996,9864
53,978,53,5.8647,20,16,1.0052,0.810939,866,1,21,16,0.540347,4.80952,90,1,0.41806,0.328942,996.048,9865.9,1,0.421569,0.314985,996,9870,1,0.417476,0.328373,996,9864
54,994,54,5.89131,20,16,1.00468,0.828845,882,1,21,16,0.540723,4.90476,90,1,0.41806,0.329271,996.048,9866.1,1,0.421569,0.314985,996,9870,1,0.417476,0.330275,996,9868
55,1010,55,5.85807,20,16,1.00421,0.844961,898,1,21,16,0.538676,4.80952,90,1,0.417866,0.331018,996.048,9865.71,1,0.421569,0.314985,996,9870,1,0.417476,0.330303,996,9866
56,1027,56,5.8684,20,16,1.00379,0.859465,913,1,22,16,0.539887,5.09524,90,1,0.417866,0.33188,996.048,9865.76,1,0.421569,0.314985,996,9870,1,0.417476,0.33033,996,9865
57,1043,57,5.82827,20,16,1.00341,0.872518,929,1,22,16,0.539506,4.47619,90,1,0.417866,0.33298,996.048,9865.52,1,0.421569,0.314985,996,9870,1,0.417476,0.331349,996,9864
