GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Avg_f2,pop1_Avg_f3,pop1_Avg_f4,pop1_Best_f0,pop1_Best_f1,pop1_Best_f2,pop1_Best_f3,pop1_Best_f4,pop1_Worst_f0,pop1_Worst_f1,pop1_Worst_f2,pop1_Worst_f3,pop1_Worst_f4
0,0,0,7.29634,20,16,2,0.99,40,0,0,0,0,0,90,1,0.299548,993.6,9867.35,0.278947,1,0.367347,996,9869,0.295617,1,0.230769,994,9866,0.29697
1,68,1,7.10264,20,16,1.95,0.99,56,0,0,16,0.693497,1,90,1,0.330341,994.2,9867.15,0.282379,1,0.367347,996,9869,0.295617,1,0.315789,994,9872,0.247706
2,90,2,7.07191,20,16,1.855,0.99,72,0,0,16,0.660137,1.8,90,1,0.333944,994.55,9867.45,0.286467,1,0.367347,996,9869,0.295617,1,0.322917,994,9875,0.298675
3,109,3,7.01748,20,16,1.7695,0.99,88,0,0,16,0.638225,2.45,90,1,0.337225,994.5,9867.05,0.286892,1,0.367347,996,9869,0.295617,1,0.326316,994,9865,0.289289
4,130,4,6.98462,20,16,1.69255,0.99,104,0,0,16,0.621848,3.15,90,1,0.340333,994.45,9866.7,0.287656,1,0.367347,996,9869,0.295617,1,0.329897,991,9872,0.275229
5,149,5,6.93915,20,16,1.62329,0.99,120,0,0,16,0.602419,3.55,90,1,0.342377,994.95,9866.25,0.292866,1,0.367347,996,9869,0.295617,1,0.329897,995,9860,0.306513
6,168,6,6.95116,20,16,1.56097,0.892,136,0,0,16,0.57143,3.8,90,1,0.34358,995.05,9867.1,0.291813,1,0.367347,996,9869,0.295617,1,0.329897,995,9868,0.304791
7,187,7,6.79728,20,16,1.50487,0.9018,152,0,0,16,0.571188,3.55,90,1,0.347155,995.3,9867.25,0.290355,1,0.367347,996,9869,0.295617,1,0.333333,995,9858,0.304143
8,205,8,6.71224,20,16,1.45438,0.91062,168,0,0,16,0.586096,3.8,90,1,0.353113,995.15,9865.15,0.29419,1,0.367347,996,9869,0.295617,1,0.340206,994,9862,0.293372
9,223,9,6.61383,20,16,1.40894,0.918558,184,0,0,16,0.589782,3.85,90,1,0.358629,995.5,9864.8,0.294,1,0.37,995,9859,0.306743,1,0.350515,996,9867,0.294597
10,241,10,6.55153,20,16,1.36805,0.925702,200,0,0,16,0.603329,3.2,90,1,0.363719,995.25,9863.05,0.291266,1,0.38,996,9861,0.308213,1,0.353535,995,9860,0.291188
11,258,11,6.66007,20,16,1.33124,0.932132,216,0,0,16,0.603412,2.8,90,1,0.366748,995.3,9863.5,0.290147,1,0.38,996,9861,0.308213,1,0.357143,994,9861,0.300483
12,276,12,6.61601,20,16,1.29812,0.937919,232,0,0,16,0.591589,3.15,90,1,0.367768,995.4,9863.6,0.290751,1,0.38,996,9861,0.308213,1,0.363636,994,9861,0.292754
13,293,13,6.48933,20,16,1.26831,0.943127,248,0,0,16,0.584211,3.7,90,1,0.368643,995.35,9863.4,0.292184,1,0.38,996,9861,0.308213,1,0.367347,995,9861,0.301449
14,311,14,6.55823,20,16,1.24148,0.947814,263,0,1,16,0.584596,4.3,90,1,0.369541,995.35,9864.5,0.2896,1,0.38,996,9861,0.308213,1,0.367347,995,9862,0.311891
15,328,15,6.38936,20,16,1.21733,0.952033,279,0,1,16,0.578854,4.25,90,1,0.369541,995.55,9865.25,0.285354,1,0.38,996,9861,0.308213,1,0.367347,995,9867,0.261978
16,346,16,6.36259,20,16,1.1956,0.95583,294,0,2,16,0.56812,4.85,90,1,0.369541,995.65,9864.95,0.284419,1,0.38,996,9861,0.308213,1,0.367347,996,9865,0.273273
17,365,17,6.38828,20,16,1.17604,0.959247,310,0,2,16,0.558519,5.5,90,1,0.370613,995.6,9865,0.288522,1,0.386139,996,9862,0.327485,1,0.367347,996,9866,0.269697
18,384,18,6.42269,20,16,1.15843,0.962322,326,0,2,16,0.557882,5.9,90,1,0.371246,995.55,9864.95,0.290896,1,0.386139,996,9862,0.327485,1,0.367347,996,9866,0.269697
19,402,19,6.49538,20,16,1.14259,0.96509,342,0,2,16,0.556213,4.7,90,1,0.372951,995.4,9865.6,0.296085,1,0.386139,996,9871,0.289501,1,0.367347,996,9867,0.262997
20,419,20,6.52364,20,16,1.12833,0.967581,358,0,2,16,0.552762,4.2,90,1,0.372132,995.3,9865.9,0.296585,1,0.386139,996,9871,0.289501,1,0.363636,995,9871,0.273191
