GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Avg_f2,pop1_Avg_f3,pop1_Best_f0,pop1_Best_f1,pop1_Best_f2,pop1_Best_f3,pop1_Worst_f0,pop1_Worst_f1,pop1_Worst_f2,pop1_Worst_f3
0,0,0,7.29634,20,16,2,0.99,40,0,0,0,0,0,90,1,993.6,9867.35,0.278947,1,997,9864,0.31746,1,989,9870,0.262997
1,70,1,7.09051,20,16,1.95,0.99,56,0,0,16,0.717587,1,90,1,995.25,9867.35,0.289778,1,997,9864,0.31746,1,994,9871,0.271152
2,92,2,7.09296,20,16,1.855,0.99,72,0,0,16,0.707718,1.6,90,1,995.65,9867.95,0.298986,1,997,9870,0.304791,1,995,9865,0.286286
3,111,3,7.07419,20,16,1.7695,0.99,88,0,0,16,0.700607,2.1,90,1,995.9,9868.3,0.296527,1,997,9870,0.304791,1,995,9870,0.303772
4,131,4,7.00843,20,16,1.69255,0.99,104,0,0,16,0.680488,2.65,90,1,996.15,9868,0.296042,1,997,9870,0.304791,1,996,9863,0.306785
5,150,5,6.96802,20,16,1.62329,0.99,120,0,0,16,0.636069,3.4,90,1,996.2,9868.75,0.297012,1,997,9875,0.304791,1,996,9866,0.311111
6,168,6,6.98821,20,16,1.56097,0.99,136,0,0,16,0.626691,3.8,90,1,996.2,9869.35,0.295616,1,997,9875,0.304791,1,996,9868,0.291539
7,186,7,6.9742,20,16,1.50487,0.99,152,0,0,16,0.606395,4.25,90,1,996.2,9869.6,0.296177,1,997,9875,0.304791,1,996,9868,0.331295
8,207,8,7.00092,20,16,1.45438,0.99,168,0,0,16,0.585236,4.75,90,1,996.2,9869.9,0.294698,1,997,9875,0.304791,1,996,9869,0.280326
9,226,9,6.95501,20,16,1.40894,0.99,184,0,0,16,0.585144,4.25,90,1,996.2,9870.75,0.29689,1,997,9875,0.304791,1,996,9870,0.276249
10,246,10,6.92398,20,16,1.36805,0.99,200,0,0,16,0.577746,5.2,90,1,996.25,9871.05,0.298215,1,997,9876,0.302752,1,996,9870,0.289501
11,264,11,6.88483,20,16,1.33124,0.99,216,0,0,16,0.572546,4.6,90,1,996.3,9871.3,0.296919,1,997,9876,0.302752,1,996,9870,0.302752
12,285,12,6.87292,20,16,1.29812,0.892,232,0,0,16,0.55897,4.8,90,1,996.25,9871.45,0.295492,1,997,9876,0.302752,1,996,9871,0.264016
13,302,13,6.67888,20,16,1.26831,0.9018,248,0,0,16,0.569996,3.4,90,1,996.45,9872.1,0.295033,1,997,9876,0.302752,1,996,9872,0.272171
14,320,14,6.30935,20,16,1.24148,0.91062,264,0,0,16,0.577868,2.8,90,1,996.7,9873,0.299643,1,997,9876,0.302752,1,996,9873,0.277268
15,338,15,6.24415,20,16,1.21733,0.918558,280,0,0,16,0.578986,2.85,90,1,996.75,9873.15,0.301682,1,997,9876,0.302752,1,996,9874,0.297655
16,355,16,6.32855,20,16,1.1956,0.925702,296,0,0,16,0.582065,3.1,90,1,997,9872.85,0.29949,1,997,9876,0.302752,1,997,9867,0.313965
17,372,17,6.23856,20,16,1.18582,0.925702,312,0,0,16,0.577039,3.3,90,1,997,9873.5,0.3,1,997,9876,0.302752,1,997,9870,0.2579
18,390,18,5.94663,20,16,1.16724,0.932132,328,0,0,16,0.580845,3.35,90,1,997,9875.1,0.297961,1,997,9877,0.294597,1,997,9873,0.318043
19,408,19,5.94383,20,16,1.15051,0.937919,344,0,0,16,0.57086,4.15,90,1,997,9875.4,0.295973,1,997,9877,0.294597,1,997,9874,0.288481
20,425,20,5.96014,20,16,1.13546,0.943127,360,0,0,16,0.571375,4.1,90,1,997,9875.5,0.296993,1,997,9877,0.294597,1,997,9874,0.310907
21,443,21,6.0098,20,16,1.12191,0.947814,376,0,0,16,0.565335,4.25,90,1,997,9875.75,0.295923,1,997,9877,0.294597,1,997,9875,0.300714
22,461,22,6.04849,20,16,1.10972,0.952033,392,0,0,16,0.561064,4.45,90,1,997,9875.75,0.296279,1,997,9877,0.294597,1,997,9875,0.301733
23,479,23,6.10913,20,16,1.09875,0.95583,408,0,0,16,0.554749,4.8,90,1,997,9875.9,0.296381,1,997,9878,0.300714,1,997,9875,0.302752
24,498,24,6.10995,20,16,1.08888,0.959247,424,0,0,16,0.55293,5.3,90,1,997,9875.95,0.296024,1,997,9878,0.300714,1,997,9875,0.302752
25,516,25,6.0814,20,16,1.07999,0.962322,440,0,0,16,0.548637,5.25,90,1,997,9876.05,0.294852,1,997,9878,0.300714,1,997,9875,0.30581
26,534,26,6.11731,20,16,1.07199,0.86709,456,0,0,16,0.543502,5.25,90,1,997,9876,0.296279,1,997,9878,0.300714,1,997,9875,0.304791
27,551,27,6.09344,20,16,1.06479,0.879381,472,0,0,16,0.538587,5.25,90,1,997,9876.15,0.296993,1,997,9878,0.300714,1,997,9875,0.309888
