GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,AVG CORRECT,AVG MAXSEQ,AVG DAMLEV,AVG LINES,BEST CORRECT,BEST MAXSEQ,BEST DAMLEV,BEST LINES,WORST CORRECT,WORST MAXSEQ,WORST DAMLEV,WORST LINES
0,0,0,7.25382,20,16,2,0.9,40,0,0,0,0,0,81,1,994.1,0.240945,9874,1,996,0.275556,9870,1,990,0.204106,9878
1,18,1,6.93601,20,16,1.95,0.9,54,0,2,16,0.764198,1,81,1,995.4,0.262785,9871.3,1,996,0.275556,9870,1,995,0.249714,9873
2,24,2,6.75209,20,16,1.855,0.909,70,0,2,16,0.754009,1.6,81,1,995.8,0.261383,9871.6,1,996,0.30582,9865,1,995,0.287582,9868
3,29,3,6.56747,20,16,1.7695,0.9171,85,0,3,16,0.77797,1.9,81,1,996,0.264661,9871.2,1,996,0.30582,9865,1,996,0.239583,9874
4,35,4,6.52148,20,16,1.69255,0.92439,101,0,3,16,0.711154,2.25,81,1,996,0.269763,9870.6,1,996,0.30582,9865,1,996,0.250859,9873
5,40,5,6.52081,20,16,1.62329,0.930951,117,0,3,16,0.710154,2.55,81,1,996.05,0.277344,9869.55,1,997,0.30582,9865,1,996,0.260771,9872
6,47,6,6.47658,20,16,1.56097,0.936856,133,0,3,16,0.717006,2.7,81,1,996.2,0.287426,9868,1,997,0.317757,9863,1,996,0.273333,9870
7,53,7,6.48791,20,16,1.50487,0.94217,149,0,3,16,0.700054,3.15,81,1,996.2,0.290746,9867.45,1,997,0.317757,9863,1,996,0.275556,9870
8,59,8,6.5361,20,16,1.45438,0.946953,165,0,3,16,0.683296,2.75,81,1,996.25,0.294947,9866.9,1,997,0.317757,9863,1,996,0.282728,9869
9,66,9,6.5016,20,16,1.40894,0.951258,181,0,3,16,0.668034,3.45,81,1,996.25,0.298239,9866.3,1,997,0.317757,9863,1,996,0.291262,9867
10,72,10,6.46139,20,16,1.36805,0.857132,197,0,3,16,0.649616,3.7,81,1,996.25,0.299793,9866.15,1,997,0.317757,9863,1,996,0.291939,9868
11,78,11,6.43031,20,16,1.33124,0.870419,213,0,3,16,0.659839,3.25,81,1,996.65,0.300786,9865.95,1,997,0.321911,9863,1,996,0.302646,9865
12,84,12,6.33391,20,16,1.29812,0.882377,229,0,3,16,0.65469,2.85,81,1,997,0.299037,9866.35,1,997,0.321911,9863,1,997,0.281628,9869
13,91,13,6.39968,20,16,1.26831,0.893139,245,0,3,16,0.65618,3.3,81,1,997,0.303593,9865.65,1,997,0.321911,9863,1,997,0.284929,9869
14,97,14,6.34183,20,16,1.24148,0.902825,260,0,4,16,0.652123,3.55,81,1,997,0.308538,9864.85,1,997,0.327161,9862,1,997,0.294498,9867
15,103,15,6.18684,20,16,1.21733,0.911543,276,0,4,16,0.648776,2.9,81,1,997,0.314462,9863.9,1,997,0.327161,9862,1,997,0.304762,9865
16,110,16,6.16612,20,16,1.1956,0.919389,292,0,4,16,0.648986,2.7,81,1,997,0.316551,9863.5,1,997,0.327161,9862,1,997,0.311321,9864
17,116,17,6.25047,20,16,1.18582,0.82845,308,0,4,16,0.639616,3.6,81,1,997,0.317179,9863.5,1,997,0.327161,9862,1,997,0.311321,9864
18,122,18,6.20521,20,16,1.16724,0.844605,324,0,4,16,0.64212,3.25,81,1,997,0.321107,9862.8,1,997,0.338384,9860,1,997,0.313417,9864
19,128,19,6.16262,20,16,1.15051,0.859144,339,0,5,16,0.644638,3.35,81,1,997,0.32461,9862.4,1,997,0.338384,9860,1,997,0.317757,9863
20,135,20,6.09291,20,16,1.13546,0.87223,355,0,5,16,0.649585,2.35,81,1,997,0.329806,9861.55,1,997,0.339394,9860,1,997,0.323988,9863
21,141,21,5.97664,20,16,1.12191,0.884007,371,0,5,16,0.650087,3.05,81,1,997,0.330787,9861.35,1,997,0.339394,9860,1,997,0.326132,9862
22,147,22,5.94606,20,16,1.10972,0.894606,387,0,5,16,0.645147,3.7,81,1,997,0.332316,9861.1,1,997,0.344344,9859,1,997,0.326132,9862
23,154,23,6.11946,20,16,1.09875,0.904146,403,0,5,16,0.64858,2.45,81,1,997.1,0.336129,9860.5,1,998,0.333333,9861,1,997,0.331295,9861
24,160,24,6.1828,20,16,1.08888,0.912731,419,0,5,16,0.649483,2.95,81,1,997.1,0.337541,9860.3,1,998,0.333333,9861,1,997,0.333333,9861
25,166,25,6.10129,20,16,1.07999,0.920458,435,0,5,16,0.650033,3.15,81,1,997.2,0.338893,9860,1,998,0.333333,9861,1,997,0.338384,9860
26,173,26,6.0923,20,16,1.07199,0.927412,451,0,5,16,0.642239,3.9,81,1,997.2,0.339639,9859.9,1,998,0.333333,9861,1,997,0.338384,9860
27,179,27,6.20004,20,16,1.06479,0.933671,467,0,5,16,0.639072,2.9,81,1,997.3,0.340024,9859.9,1,998,0.335372,9861,1,997,0.344344,9859
28,185,28,6.23664,20,16,1.05831,0.939304,483,0,5,16,0.639415,3.25,81,1,997.35,0.339393,9860.05,1,998,0.335372,9861,1,997,0.344344,9859
29,192,29,6.21558,20,16,1.05248,0.944373,499,0,5,16,0.630704,3.9,81,1,997.4,0.33752,9860.35,1,998,0.335372,9861,1,997,0.345345,9859
30,198,30,6.1931,20,16,1.04723,0.948936,515,0,5,16,0.628286,4,81,1,997.55,0.333806,9860.95,1,998,0.335372,9861,1,997,0.346346,9859
31,198,30,6.1931,20,16,1.04723,0.948936,515,0,5,16,0.628286,4,81,1,997.55,0.333806,9860.95,1,998,0.335372,9861,1,997,0.346346,9859
31,0,30,6.1931,20,16,1.04723,0.948936,535,0,5,0,0.628286,4,81,1,997.55,0.333806,9860.95,1,998,0.335372,9861,1,997,0.346346,9859
32,14,31,6.16092,20,16,1.04251,0.953042,551,0,5,16,0.467485,4.15,81,1,997.65,0.330632,9861.4,1,998,0.335372,9861,1,997,0.349349,9859
33,23,32,6.04549,20,16,1.03826,0.956738,567,0,5,16,0.529455,4.75,81,1,997.8,0.326784,9861.95,1,998,0.335372,9861,1,997,0.35119,9858
34,31,33,6.00235,20,16,1.03443,0.960064,583,0,5,16,0.495031,4.6,81,1,997.85,0.323571,9862.45,1,998,0.335372,9861,1,997,0.35119,9858
35,41,34,5.86305,20,16,1.03271,0.865058,599,0,5,16,0.488651,4.5,81,1,998,0.318547,9863.25,1,998,0.335372,9861,1,998,0.301282,9866
36,51,35,5.89443,20,16,1.02944,0.877552,615,0,5,16,0.528141,3.15,81,1,998,0.323541,9862.5,1,998,0.338384,9860,1,998,0.314465,9864
37,61,36,5.84957,20,16,1.0265,0.888797,631,0,5,16,0.522968,3.95,81,1,998,0.324346,9862.35,1,998,0.338384,9860,1,998,0.314465,9864
38,70,37,5.6887,20,16,1.02385,0.898917,647,0,5,16,0.536212,3.8,81,1,998,0.327766,9861.8,1,998,0.338384,9860,1,998,0.320872,9863
39,81,38,5.74909,20,16,1.02146,0.908026,663,0,5,16,0.554035,3.45,81,1,998,0.331507,9861.15,1,998,0.338384,9860,1,998,0.320872,9863
40,92,39,5.76826,20,16,1.01932,0.916223,679,0,5,16,0.560166,3.55,81,1,998,0.333001,9860.9,1,998,0.338384,9860,1,998,0.326132,9862
41,102,40,5.82875,20,16,1.01738,0.923601,695,0,5,16,0.559522,3.4,81,1,998,0.334743,9860.6,1,998,0.338384,9860,1,998,0.331295,9861
42,112,41,5.82323,20,16,1.01565,0.930241,711,0,5,16,0.556455,4.3,81,1,998,0.335097,9860.55,1,998,0.338384,9860,1,998,0.332314,9861
43,122,42,5.85112,20,16,1.01408,0.936217,726,0,6,16,0.547832,4.7,81,1,998,0.336912,9860.25,1,998,0.363548,9856,1,998,0.332314,9861
44,132,43,5.88464,20,16,1.01267,0.941595,741,0,7,16,0.545695,5.3,81,1,998,0.337968,9860.1,1,998,0.363548,9856,1,998,0.332314,9861
45,140,44,5.89609,20,16,1.01141,0.946435,757,0,7,16,0.539214,6,81,1,998,0.339578,9859.85,1,998,0.364522,9856,1,998,0.332314,9861
46,147,45,5.98734,20,16,1.01026,0.950792,773,0,7,16,0.533071,5.5,81,1,998,0.338265,9860.05,1,998,0.364522,9856,1,998,0.298077,9866
47,155,46,6.05588,20,16,1.00924,0.954713,789,0,7,16,0.536229,5.25,81,1,998,0.344235,9859.15,1,998,0.364522,9856,1,998,0.333333,9861
48,161,47,6.11653,20,16,1.00831,0.958241,805,0,7,16,0.541077,4.25,81,1,998,0.345209,9859,1,998,0.369082,9855,1,998,0.327161,9862
49,168,48,6.11911,20,16,1.00748,0.961417,820,0,8,16,0.536193,4.65,81,1,998,0.349729,9858.25,1,998,0.374521,9854,1,998,0.337374,9860
50,175,49,6.1371,20,16,1.00673,0.964276,836,0,8,16,0.535913,5.15,81,1,998,0.351363,9858,1,998,0.374521,9854,1,998,0.337374,9860
51,185,50,6.15846,20,16,1.00606,0.966848,852,0,8,16,0.528675,4.75,81,1,998,0.353,9857.8,1,998,0.374521,9854,1,998,0.338384,9860
52,197,51,6.18475,20,16,1.00546,0.969163,868,0,8,16,0.524445,5.25,81,1,998,0.353152,9857.8,1,998,0.374521,9854,1,998,0.339394,9860
53,207,52,6.24146,20,16,1.00518,0.873247,884,0,8,16,0.516291,5.75,81,1,998,0.352191,9857.95,1,998,0.374521,9854,1,998,0.339394,9860
54,219,53,6.17388,20,16,1.00466,0.884922,900,0,8,16,0.520702,5,81,1,998,0.358425,9856.85,1,998,0.374521,9854,1,998,0.344344,9859
55,230,54,6.05869,20,16,1.0042,0.79743,916,0,8,16,0.52487,3.7,81,1,998,0.362661,9856.15,1,998,0.374521,9854,1,998,0.350198,9858
56,240,55,5.94322,20,16,1.00378,0.816687,932,0,8,16,0.532766,3.45,81,1,998,0.369563,9854.85,1,998,0.394444,9850,1,998,0.358899,9857
57,249,56,5.94143,20,16,1.0034,0.834018,948,0,8,16,0.536672,3.2,81,1,998,0.37228,9854.35,1,998,0.394444,9850,1,998,0.36715,9855
58,260,57,5.91076,20,16,1.00306,0.849616,964,0,8,16,0.540767,3.35,81,1,998,0.376199,9853.65,1,998,0.39537,9850,1,998,0.368116,9855
59,267,58,6.00904,20,16,1.00275,0.863655,980,0,8,16,0.542743,3.25,81,1,998,0.378092,9853.35,1,998,0.39537,9850,1,998,0.369082,9855
60,274,59,6.01302,20,16,1.00248,0.876289,995,0,9,16,0.545614,3.2,81,1,998,0.379761,9853.05,1,998,0.39537,9850,1,998,0.371015,9855
61,280,60,6.02613,20,16,1.00223,0.88766,1011,0,9,16,0.546776,2.95,81,1,998,0.382087,9852.65,1,998,0.39537,9850,1,998,0.375479,9854
62,286,61,5.93718,20,16,1.00201,0.897894,1026,0,10,16,0.55099,3.2,81,1,998,0.384792,9852.1,1,998,0.39537,9850,1,998,0.378917,9853
63,293,62,5.84285,20,16,1.00181,0.907105,1042,0,10,16,0.551408,3.4,81,1,998,0.385813,9851.95,1,998,0.39537,9850,1,998,0.379867,9853
64,299,63,5.88611,20,16,1.00172,0.907105,1058,0,10,16,0.547004,4.05,81,1,998,0.386265,9851.9,1,998,0.39537,9850,1,998,0.380817,9853
65,306,64,5.89476,20,16,1.00163,0.817394,1074,0,10,16,0.54633,3.85,81,1,998,0.387906,9851.55,1,998,0.39537,9850,1,998,0.382716,9853
66,312,65,5.79226,20,16,1.00147,0.834655,1090,0,10,16,0.546388,4.2,81,1,998,0.388405,9851.4,1,998,0.39537,9850,1,998,0.385122,9852
67,319,66,5.77119,20,16,1.00132,0.850189,1106,0,10,16,0.546828,4.65,81,1,998,0.388969,9851.3,1,998,0.39537,9850,1,998,0.386064,9852
68,325,67,5.72041,20,16,1.00119,0.864171,1121,0,11,16,0.550055,4.14286,81,1,998,0.390009,9851.1,1,998,0.39537,9850,1,998,0.386064,9852
69,332,68,5.73514,20,16,1.00113,0.778753,1137,0,11,16,0.547711,4.57143,81,1,998,0.390299,9851.05,1,998,0.39537,9850,1,998,0.387006,9852
70,339,69,5.68473,20,16,1.00102,0.701878,1153,0,11,16,0.542107,5.2381,81,1,998,0.390411,9851,1,998,0.39537,9850,1,998,0.387006,9852
71,345,70,5.71718,20,16,1.00091,0.73069,1169,0,11,16,0.546831,3.9,81,1,998,0.392203,9850.65,1,998,0.401286,9849,1,998,0.389356,9851
72,352,71,5.72829,20,16,1.00082,0.756621,1185,0,11,16,0.595243,3.4,81,1,998,0.392804,9850.55,1,998,0.401286,9849,1,998,0.390289,9851
73,358,72,5.75882,20,16,1.00074,0.779959,1199,0,13,16,0.564751,4.2,81,1,998,0.392991,9850.55,1,998,0.401286,9849,1,998,0.390289,9851
74,364,73,5.80147,20,16,1.00067,0.800963,1215,0,13,16,0.570046,4.25,81,1,998,0.394031,9850.4,1,998,0.401286,9849,1,998,0.390289,9851
75,370,74,5.81743,20,16,1.0006,0.819867,1230,0,14,16,0.586589,3.6,81,1,998,0.39544,9850.15,1,998,0.401286,9849,1,998,0.391223,9851
76,377,75,5.74553,20,16,1.00054,0.83688,1245,0,15,16,0.579392,3.7,81,1,998,0.396015,9850.1,1,998,0.402204,9849,1,998,0.393091,9851
77,383,76,5.79468,20,16,1.00049,0.852192,1260,0,16,16,0.553553,4.55,81,1,998,0.396835,9849.9,1,998,0.402204,9849,1,998,0.393091,9851
