GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,AVG CORRECT,AVG MAXSEQ,AVG LINES,AVG DAMLEV,BEST CORRECT,BEST MAXSEQ,BEST LINES,BEST DAMLEV,WORST CORRECT,WORST CORRECT,WORST CORRECT,WORST CORRECT
0,0,0,7.25382,20,16,2,0.9,40,0,0,0,0,0,81,1,994.1,9874,0.240945,1,996,9877,0.223417,1,990,9878,0.204106
1,22,1,6.86257,20,16,1.9,0.909,54,0,2,16,0.815133,1,81,1,995.4,9874.75,0.237389,1,996,9877,0.223417,1,995,9874,0.241898
2,29,2,6.68003,20,16,1.81,0.9171,70,0,2,16,0.775109,1.65,81,1,995.7,9874.5,0.239582,1,996,9877,0.223417,1,995,9876,0.224586
3,35,3,6.58041,20,16,1.729,0.92439,86,0,2,16,0.754972,2,81,1,996,9874.05,0.243656,1,996,9878,0.213768,1,996,9870,0.275556
4,43,4,6.4731,20,16,1.6561,0.930951,102,0,2,16,0.755991,2.15,81,1,996,9875.65,0.232255,1,996,9879,0.20757,1,996,9873,0.250859
5,50,5,6.34275,20,16,1.59049,0.936856,118,0,2,16,0.720426,2.75,81,1,996,9876.3,0.226973,1,996,9879,0.20757,1,996,9873,0.254296
6,58,6,6.12862,20,16,1.53144,0.94217,134,0,2,16,0.706423,2.75,81,1,996.05,9877.05,0.221312,1,997,9873,0.255441,1,996,9876,0.228132
7,66,7,6.24449,20,16,1.4783,0.946953,150,0,2,16,0.697881,3.15,81,1,996.15,9877,0.222565,1,997,9875,0.238596,1,996,9877,0.222222
8,74,8,6.30486,20,16,1.43047,0.951258,166,0,2,16,0.68774,3.25,81,1,996.15,9877.25,0.22009,1,997,9875,0.238596,1,996,9877,0.223417
9,83,9,6.31708,20,16,1.38742,0.955132,182,0,2,16,0.658483,3.7,81,1,996.15,9877.35,0.219307,1,997,9875,0.238596,1,996,9878,0.211353
10,90,10,6.40709,20,16,1.34868,0.958619,198,0,2,16,0.656147,3.65,81,1,996.2,9877.25,0.220568,1,997,9875,0.238596,1,996,9878,0.21256
11,98,11,6.38822,20,16,1.31381,0.961757,214,0,2,16,0.638688,4.4,81,1,996.2,9877.35,0.219877,1,997,9875,0.238596,1,996,9878,0.21256
12,106,12,6.34053,20,16,1.28243,0.964581,230,0,2,16,0.632925,5.05,81,1,996.25,9877.2,0.221262,1,997,9875,0.238596,1,996,9878,0.213768
13,114,13,6.45157,20,16,1.25419,0.967123,246,0,2,16,0.63017,4.6,81,1,996.35,9876.85,0.224482,1,997,9875,0.238596,1,996,9878,0.214976
14,121,14,6.49138,20,16,1.22877,0.969411,262,0,2,16,0.615805,4.6,81,1,996.35,9877,0.222923,1,997,9875,0.238596,1,996,9878,0.214976
15,129,15,6.4729,20,16,1.20589,0.97147,278,0,2,16,0.604292,4.95,81,1,996.4,9876.8,0.224677,1,997,9875,0.238596,1,996,9878,0.216184
16,136,16,6.44952,20,16,1.1853,0.973323,294,0,2,16,0.60333,4.1,81,1,996.55,9875.9,0.23083,1,997,9875,0.238596,1,996,9879,0.206349
17,144,17,6.46715,20,16,1.16677,0.974991,310,0,2,16,0.602596,4.05,81,1,996.6,9875.85,0.231299,1,997,9877,0.221027,1,996,9880,0.191358
18,152,18,6.42305,20,16,1.15009,0.976491,326,0,2,16,0.601118,4.5,81,1,996.7,9875.4,0.235683,1,997,9877,0.221027,1,996,9880,0.195062
19,159,19,6.37198,20,16,1.13509,0.977842,342,0,2,16,0.590736,5.05,81,1,996.75,9874.95,0.239454,1,997,9877,0.221027,1,996,9880,0.197531
20,167,20,6.34322,20,16,1.12158,0.979058,358,0,2,16,0.583073,4.75,81,1,996.85,9874.2,0.245413,1,997,9877,0.221027,1,996,9880,0.197531
21,175,21,6.07204,20,16,1.10942,0.980152,374,0,2,16,0.580076,4.65,81,1,997,9873.4,0.251835,1,997,9877,0.221027,1,997,9870,0.276667
22,183,22,6.08112,20,16,1.09848,0.883137,390,0,2,16,0.571079,5.15,81,1,997,9873.25,0.252975,1,997,9877,0.221027,1,997,9870,0.276667
23,191,23,6.10282,20,16,1.08863,0.893823,406,0,2,16,0.573423,4.1,81,1,997,9874.45,0.243466,1,997,9877,0.221027,1,997,9872,0.261905
24,198,24,6.04058,20,16,1.07977,0.903441,421,0,3,16,0.575678,3.95,81,1,997,9875,0.238844,1,997,9877,0.221027,1,997,9874,0.24537
25,205,25,6.01832,20,16,1.07179,0.912097,435,0,5,16,0.577039,3.75,81,1,997,9875.35,0.235937,1,997,9877,0.221027,1,997,9874,0.248843
26,213,26,6.01355,20,16,1.06461,0.919887,450,0,6,16,0.577434,3.9,81,1,997,9875.7,0.232725,1,997,9877,0.224612,1,997,9875,0.237427
27,220,27,6.06399,20,16,1.05815,0.926899,466,0,6,16,0.573336,3.9,81,1,997,9875.75,0.232082,1,997,9877,0.224612,1,997,9875,0.237427
28,229,28,6.14813,20,16,1.05233,0.933209,482,0,6,16,0.575837,3.35,81,1,997,9876.15,0.228761,1,997,9877,0.224612,1,997,9875,0.238596
29,236,29,6.10552,20,16,1.0471,0.938888,498,0,6,16,0.578903,3.9,81,1,997,9876.5,0.225844,1,997,9879,0.203907,1,997,9876,0.229314
30,243,30,6.11878,20,16,1.04239,0.943999,514,0,6,16,0.576195,4.15,81,1,997,9876.6,0.225303,1,997,9879,0.203907,1,997,9876,0.229314
31,251,31,6.13005,20,16,1.03815,0.948599,530,0,6,16,0.572666,4.65,81,1,997,9876.65,0.224709,1,997,9879,0.203907,1,997,9876,0.230496
32,258,32,6.13505,20,16,1.03434,0.952739,546,0,6,16,0.566638,5.1,81,1,997,9876.75,0.224119,1,997,9879,0.203907,1,997,9876,0.230496
33,266,33,6.15319,20,16,1.0309,0.956465,562,0,6,16,0.565619,4.75,81,1,997,9876.85,0.223172,1,997,9879,0.203907,1,997,9876,0.230496
