GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,AVG CORRECT,AVG MAXSEQ,AVG LINES,AVG DAMLEV,BEST CORRECT,BEST MAXSEQ,BEST LINES,BEST DAMLEV,WORST CORRECT,WORST MAXSEQ,WORST LINES,WORST DAMLEV
0,0,0,7.25382,20,16,4,0.99,40,0,0,0,0,0,81,1,994.1,9874,0.240945,1,996,9877,0.223417,1,990,9878,0.204106
1,23,1,7.01994,20,16,3.985,0.99,56,0,0,16,0.771632,1,81,1,995.4,9873.65,0.245206,1,996,9877,0.223417,1,995,9873,0.249714
2,30,2,7.00719,20,16,3.98515,0.99,72,0,0,16,0.66896,1.8,81,1,995.4,9874.2,0.241279,1,996,9877,0.223417,1,995,9875,0.231579
3,37,3,6.95986,20,16,3.9853,0.99,88,0,0,16,0.652734,2.35,81,1,995.65,9873,0.250578,1,996,9877,0.223417,1,995,9876,0.224586
4,45,4,6.91806,20,16,3.98545,0.99,104,0,0,16,0.680111,2.2,81,1,996.05,9872.4,0.255186,1,997,9871,0.268238,1,996,9869,0.277228
5,53,5,6.90849,20,16,3.98559,0.99,120,0,0,16,0.669298,3,81,1,996.05,9873.05,0.249928,1,997,9871,0.268238,1,996,9869,0.283828
6,62,6,6.909,20,16,3.98574,0.99,136,0,0,16,0.632982,3.75,81,1,996.05,9873.35,0.247666,1,997,9871,0.268238,1,996,9870,0.275556
7,70,7,6.95423,20,16,3.98588,0.99,152,0,0,16,0.603372,4.15,81,1,996.05,9873.7,0.244969,1,997,9871,0.268238,1,996,9872,0.256236
8,78,8,6.92421,20,16,3.97095,0.99,168,0,0,16,0.577551,4.75,81,1,996.05,9873.9,0.243713,1,997,9871,0.268238,1,996,9872,0.256236
9,86,9,6.94704,20,16,3.97124,0.99,184,0,0,16,0.566096,5.45,81,1,996.05,9874.05,0.242831,1,997,9871,0.268238,1,996,9872,0.256236
10,94,10,6.93866,20,16,3.97153,0.99,200,0,0,16,0.544811,5.45,81,1,996.05,9874.2,0.242369,1,997,9871,0.268238,1,996,9873,0.247423
11,102,11,6.97836,20,16,3.97181,0.99,216,0,0,16,0.540915,4.95,81,1,996.1,9873.8,0.244885,1,997,9871,0.268238,1,996,9873,0.249714
12,110,12,6.9575,20,16,3.97209,0.99,232,0,0,16,0.531237,5.85,81,1,996.1,9873.95,0.243452,1,997,9871,0.268238,1,996,9873,0.250859
13,118,13,6.9234,20,16,3.97237,0.99,248,0,0,16,0.526741,5.95,81,1,996.1,9874.15,0.241459,1,997,9871,0.268238,1,996,9873,0.254296
14,126,14,6.98683,20,16,3.97265,0.99,264,0,0,16,0.522744,4.28571,81,1,996.048,9873.95,0.243143,1,997,9871,0.268238,1,995,9876,0.228132
15,134,15,6.95246,20,16,3.95779,0.99,280,0,0,16,0.519611,4.61905,81,1,996.143,9873.71,0.246239,1,997,9871,0.268238,1,996,9873,0.247423
16,143,16,6.95511,20,16,3.943,0.9802,296,0,0,16,0.515229,5.09524,81,1,996.143,9873.71,0.246239,1,997,9871,0.268238,1,996,9873,0.247423
17,151,17,6.9207,20,16,3.94357,0.980298,312,0,0,16,0.517824,4.6,81,1,996.2,9873.9,0.244346,1,997,9873,0.255441,1,996,9874,0.238426
18,158,18,6.87079,20,16,3.94413,0.980395,328,0,0,16,0.51919,4.55,81,1,996.25,9873.8,0.245392,1,997,9873,0.255441,1,996,9874,0.239583
19,167,19,6.87021,20,16,3.94469,0.980491,344,0,0,16,0.511428,4.35,81,1,996.25,9874.1,0.242734,1,997,9873,0.255441,1,996,9874,0.246528
20,177,20,6.84198,20,16,3.94524,0.980586,360,0,0,16,0.509523,4.55,81,1,996.25,9874.45,0.238949,1,997,9873,0.255441,1,996,9874,0.251157
21,185,21,6.8116,20,16,3.93052,0.97088,376,0,0,16,0.509691,4.75,81,1,996.2,9875.05,0.233312,1,997,9873,0.255441,1,996,9875,0.231579
22,192,22,6.83997,20,16,3.91586,0.961271,392,0,0,16,0.50756,5.1,81,1,996.2,9875.2,0.232717,1,997,9873,0.255441,1,996,9875,0.232749
23,200,23,6.81024,20,16,3.91671,0.961559,408,0,0,16,0.506996,4.4,81,1,996.3,9875.15,0.233106,1,997,9874,0.246528,1,996,9875,0.238596
24,207,24,6.73303,20,16,3.91754,0.961843,424,0,0,16,0.514399,3.85,81,1,996.4,9875.1,0.23298,1,997,9874,0.246528,1,996,9876,0.22104
25,215,25,6.74377,20,16,3.91836,0.962125,440,0,0,16,0.512954,3.7,81,1,996.5,9874.7,0.236723,1,997,9874,0.246528,1,996,9877,0.217443
26,222,26,6.63424,20,16,3.91918,0.962404,456,0,0,16,0.518148,4.3,81,1,996.7,9873.5,0.246731,1,997,9875,0.237427,1,996,9878,0.204106
27,230,27,6.56203,20,16,3.91999,0.962679,472,0,0,16,0.521542,3.3,81,1,996.85,9872.65,0.254554,1,997,9875,0.237427,1,996,9879,0.196581
