GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.85496,20,16,2,0.99,40,0,0,0,0,0,648,1,0.274455,1,0.322851,1,0.244444
1,264,1,7.76249,20,16,1.95,0.99,56,0,0,16,0.822613,1,648,1,0.295375,1,0.322851,1,0.284483
2,347,2,7.69343,20,16,1.855,0.99,72,0,0,16,0.789641,1.55,648,1,0.300949,1,0.322851,1,0.291577
3,429,3,7.64896,20,16,1.7695,0.99,88,0,0,16,0.753399,1.95,648,1,0.305807,1,0.322851,1,0.297645
4,513,4,7.55434,20,16,1.69255,0.99,104,0,0,16,0.750451,2.1,648,1,0.311524,1,0.329854,1,0.299786
5,596,5,7.40114,20,16,1.62329,0.99,120,0,0,16,0.740252,2.15,648,1,0.315998,1,0.329854,1,0.310127
6,683,6,7.22268,20,16,1.56097,0.99,136,0,0,16,0.742107,2.45,648,1,0.319159,1,0.329854,1,0.313684
7,768,7,7.23535,20,16,1.50487,0.99,152,0,0,16,0.720847,2.75,648,1,0.320155,1,0.329854,1,0.315789
8,859,8,7.22756,20,16,1.45438,0.99,168,0,0,16,0.700211,3.25,648,1,0.321462,1,0.329854,1,0.317227
9,948,9,7.24444,20,16,1.40894,0.99,184,0,0,16,0.686874,3.5,648,1,0.322838,1,0.329854,1,0.318565
10,1037,10,7.25594,20,16,1.36805,0.99,200,0,0,16,0.679004,3.95,648,1,0.323857,1,0.329854,1,0.32
11,1123,11,7.24876,20,16,1.33124,0.99,216,0,0,16,0.668057,3.85,648,1,0.325335,1,0.333333,1,0.320755
12,1208,12,7.28558,20,16,1.29812,0.99,232,0,0,16,0.66758,3.7,648,1,0.326982,1,0.333333,1,0.322851
13,1294,13,7.28651,20,16,1.26831,0.99,248,0,0,16,0.660677,3.75,648,1,0.327823,1,0.333333,1,0.324948
14,1382,14,7.29285,20,16,1.24148,0.99,264,0,0,16,0.661737,3.25,648,1,0.329152,1,0.334025,1,0.325678
15,1467,15,7.30107,20,16,1.21733,0.99,280,0,0,16,0.6568,3.55,648,1,0.330754,1,0.336798,1,0.32636
16,1553,16,7.35621,20,16,1.1956,0.99,296,0,0,16,0.654622,3.4,648,1,0.332346,1,0.348454,1,0.327044
17,1642,17,7.36521,20,16,1.17604,0.99,312,0,0,16,0.650476,3.7,648,1,0.334184,1,0.348454,1,0.329167
18,1730,18,7.38403,20,16,1.15843,0.99,328,0,0,16,0.645662,3.8,648,1,0.334879,1,0.348454,1,0.329854
19,1815,19,7.38073,20,16,1.14259,0.99,344,0,0,16,0.646451,3.6,648,1,0.336852,1,0.348454,1,0.33264
20,1910,20,7.39,20,16,1.12833,0.99,360,0,0,16,0.636591,4.05,648,1,0.338127,1,0.348454,1,0.333333
21,2001,21,7.3779,20,16,1.1155,0.99,376,0,0,16,0.633126,3.85,648,1,0.340218,1,0.354508,1,0.334025
22,2091,22,7.37114,20,16,1.10395,0.99,392,0,0,16,0.633238,3.65,648,1,0.342595,1,0.354508,1,0.335417
23,2175,23,7.26821,20,16,1.09355,0.99,408,0,0,16,0.636879,2.75,648,1,0.346063,1,0.354508,1,0.341615
24,2263,24,7.28883,20,16,1.0842,0.99,424,0,0,16,0.631047,3.45,648,1,0.346544,1,0.354508,1,0.342324
25,2350,25,7.24675,20,16,1.07578,0.99,440,0,0,16,0.629487,3.95,648,1,0.347802,1,0.357873,1,0.343685
26,2438,26,7.19232,20,16,1.0682,0.99,456,0,0,16,0.625123,4.2,648,1,0.348611,1,0.357873,1,0.345041
27,2527,27,7.20444,20,16,1.06138,0.99,472,0,0,16,0.624718,4.35,648,1,0.350107,1,0.357873,1,0.345041
28,2616,28,7.20875,20,16,1.05524,0.99,488,0,0,16,0.618391,4.55,648,1,0.350819,1,0.357873,1,0.345041
29,2702,29,7.21509,20,16,1.04972,0.99,504,0,0,16,0.617047,4.2,648,1,0.352475,1,0.358607,1,0.348454
30,2787,30,7.19675,20,16,1.04475,0.99,520,0,0,16,0.619737,3.3,648,1,0.354096,1,0.358607,1,0.351129
31,2874,31,7.20935,20,16,1.04027,0.99,536,0,0,16,0.619968,3.4,648,1,0.354904,1,0.358607,1,0.351852
32,2962,32,7.216,20,16,1.03624,0.99,552,0,0,16,0.617287,3.6,648,1,0.356234,1,0.367886,1,0.353183
33,3049,33,7.21714,20,16,1.03262,0.99,568,0,0,16,0.614497,4.35,648,1,0.356469,1,0.367886,1,0.353183
