GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Avg_f2,pop1_Avg_f3,pop1_Avg_f4,pop1_Best_f0,pop1_Best_f1,pop1_Best_f2,pop1_Best_f3,pop1_Best_f4,pop1_Worst_f0,pop1_Worst_f1,pop1_Worst_f2,pop1_Worst_f3,pop1_Worst_f4
0,0,0,7.85496,20,16,2,0.99,40,0,0,0,0,0,648,1,0.274476,9130.83,987.525,0.258024,1,0.322851,9111,989,0.279512,1,0.244444,9132,988,0.255661
1,595,1,7.76249,20,16,1.95,0.99,56,0,0,16,0.82152,1,648,1,0.295375,9128.1,988.4,0.260701,1,0.322851,9111,989,0.279512,1,0.284483,9147,987,0.242863
2,767,2,7.69343,20,16,1.855,0.99,72,0,0,16,0.786753,1.55,648,1,0.300949,9128.15,988.6,0.260799,1,0.322851,9111,989,0.279512,1,0.291577,9128,987,0.259827
3,941,3,7.64896,20,16,1.7695,0.99,88,0,0,16,0.74963,1.95,648,1,0.305807,9125.15,989.05,0.264001,1,0.322851,9111,989,0.279512,1,0.297645,9120,985,0.266615
4,1110,4,7.56953,20,16,1.69255,0.99,104,0,0,16,0.74868,1.95,648,1,0.311524,9120.75,989.1,0.268777,1,0.329854,9120,986,0.272975,1,0.299786,9130,986,0.258471
5,1277,5,7.32213,20,16,1.62329,0.99,120,0,0,16,0.750992,2.15,648,1,0.317558,9113.75,989.7,0.276545,1,0.329854,9120,986,0.272975,1,0.310782,9114,990,0.275586
6,1437,6,7.25764,20,16,1.56097,0.99,136,0,0,16,0.745238,2.2,648,1,0.32029,9112.15,989.55,0.278154,1,0.329854,9120,986,0.272975,1,0.315011,9118,989,0.272598
7,1598,7,7.25292,20,16,1.50487,0.99,152,0,0,16,0.724471,2.75,648,1,0.322191,9112.35,989.4,0.278201,1,0.336798,9115,986,0.27681,1,0.316456,9126,989,0.263791
8,1763,8,7.226,20,16,1.45438,0.892,168,0,0,16,0.699422,3.45,648,1,0.322968,9111.4,989.3,0.279103,1,0.336798,9115,986,0.27681,1,0.317895,9112,991,0.279064
9,1910,9,7.15475,20,16,1.40894,0.9018,184,0,0,16,0.689123,3.25,648,1,0.325579,9110.15,989.05,0.280282,1,0.336798,9115,986,0.27681,1,0.322851,9098,992,0.290053
10,2057,10,7.1753,20,16,1.36805,0.91062,200,0,0,16,0.702031,2.65,648,1,0.32817,9110.2,988.85,0.280474,1,0.336798,9115,986,0.27681,1,0.324268,9113,992,0.277585
11,2206,11,7.18479,20,16,1.33124,0.918558,216,0,0,16,0.701589,2.55,648,1,0.329494,9110.9,988.55,0.279884,1,0.336798,9116,986,0.275969,1,0.32636,9112,989,0.278421
12,2354,12,7.19141,20,16,1.29812,0.925702,232,0,0,16,0.693046,2.8,648,1,0.330576,9111.65,988.1,0.279319,1,0.336798,9117,986,0.274997,1,0.327044,9110,989,0.280472
13,2506,13,7.14389,20,16,1.26831,0.932132,248,0,0,16,0.688467,3.1,648,1,0.332109,9113.75,987.5,0.277755,1,0.341615,9118,992,0.275447,1,0.327766,9117,992,0.27435
14,2654,14,7.09241,20,16,1.24148,0.937919,264,0,0,16,0.682262,2.75,648,1,0.333292,9113.5,987.5,0.278053,1,0.341615,9118,992,0.275447,1,0.329854,9116,986,0.276357
15,2805,15,7.07884,20,16,1.21733,0.943127,280,0,0,16,0.67716,2.85,648,1,0.334854,9113.7,987.95,0.277964,1,0.341615,9121,992,0.273294,1,0.331942,9104,989,0.284913
16,2955,16,7.04282,20,16,1.1956,0.947814,296,0,0,16,0.678392,3.15,648,1,0.335859,9113.95,987.8,0.277876,1,0.341615,9121,992,0.273294,1,0.333333,9111,989,0.280154
17,3104,17,7.06487,20,16,1.17604,0.952033,312,0,0,16,0.676679,2.85,648,1,0.337138,9114.6,987.8,0.277342,1,0.343685,9115,989,0.277455,1,0.333333,9116,986,0.275581
18,3251,18,7.0422,20,16,1.15843,0.95583,328,0,0,16,0.677914,2.9,648,1,0.338761,9115.7,988.25,0.276496,1,0.343685,9115,989,0.277455,1,0.336798,9111,989,0.280283
19,3402,19,7.05633,20,16,1.14259,0.959247,344,0,0,16,0.673852,3.35,648,1,0.33921,9116.9,988.85,0.275634,1,0.343685,9115,989,0.277455,1,0.336798,9116,986,0.27584
20,3551,20,7.06857,20,16,1.12833,0.962322,360,0,0,16,0.665225,2.9,648,1,0.339555,9117.3,989.6,0.275496,1,0.343685,9115,989,0.277455,1,0.336798,9117,986,0.275385
21,3701,21,7.07322,20,16,1.12191,0.86709,376,0,0,16,0.653648,3.8,648,1,0.339624,9117.65,990.05,0.275335,1,0.343685,9115,989,0.277455,1,0.336798,9120,992,0.273624
22,3847,22,7.07332,20,16,1.10972,0.879381,391,0,1,16,0.648444,4,648,1,0.340622,9116.35,989.75,0.276274,1,0.343685,9115,989,0.277455,1,0.338174,9120,989,0.273105
23,3996,23,7.0495,20,16,1.09875,0.890443,406,0,2,16,0.650266,4,648,1,0.341481,9116.25,989.9,0.276526,1,0.348454,9116,989,0.276357,1,0.338877,9120,992,0.273754
24,4144,24,7.03938,20,16,1.08888,0.900398,421,0,3,16,0.6466,3.75,648,1,0.342237,9117.25,990.05,0.275855,1,0.348454,9116,989,0.276357,1,0.340249,9114,989,0.27868
25,4291,25,7.0277,20,16,1.07999,0.909359,437,0,3,16,0.64624,3.15,648,1,0.342442,9118.35,990.75,0.275145,1,0.348454,9116,989,0.276357,1,0.341615,9118,992,0.275447
26,4435,26,7.03223,20,16,1.07199,0.917423,453,0,3,16,0.646273,2.8,648,1,0.343093,9118.1,990.3,0.275334,1,0.349794,9116,989,0.276615,1,0.341615,9119,992,0.27499
27,4581,27,7.03201,20,16,1.06479,0.92468,469,0,3,16,0.644853,2.8,648,1,0.343232,9117.65,990.1,0.275713,1,0.349794,9116,989,0.276615,1,0.341615,9120,992,0.274143
