GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Avg_f2,pop1_Avg_f3,pop1_Best_f0,pop1_Best_f1,pop1_Best_f2,pop1_Best_f3,pop1_Worst_f0,pop1_Worst_f1,pop1_Worst_f2,pop1_Worst_f3
0,0,0,7.85496,20,16,2,0.99,40,0,0,0,0,0,648,1,0.274455,987.575,9130.12,1,0.322851,989,9111,1,0.244444,988,9132
1,595,1,7.76249,20,16,1.95,0.99,56,0,0,16,0.824877,1,648,1,0.295375,988.4,9128.1,1,0.322851,989,9111,1,0.284483,987,9147
2,767,2,7.69343,20,16,1.855,0.99,72,0,0,16,0.790462,1.55,648,1,0.300949,988.6,9128.15,1,0.322851,991,9107,1,0.291577,987,9128
3,941,3,7.64896,20,16,1.7695,0.99,88,0,0,16,0.751595,1.95,648,1,0.305807,989.05,9125.15,1,0.322851,991,9107,1,0.297645,985,9120
4,1110,4,7.55434,20,16,1.69255,0.99,104,0,0,16,0.748893,2.1,648,1,0.311524,989.4,9120.65,1,0.329854,986,9120,1,0.299786,992,9128
5,1270,5,7.40114,20,16,1.62329,0.99,120,0,0,16,0.739241,2.15,648,1,0.315998,989.75,9115.15,1,0.329854,986,9120,1,0.310127,986,9134
6,1432,6,7.22268,20,16,1.56097,0.99,136,0,0,16,0.739828,2.45,648,1,0.319159,989.8,9111.8,1,0.329854,986,9120,1,0.313684,994,9102
7,1593,7,7.24267,20,16,1.50487,0.99,152,0,0,16,0.718291,2.6,648,1,0.320155,989.95,9113.4,1,0.329854,986,9120,1,0.315789,991,9107
8,1757,8,7.22756,20,16,1.45438,0.99,168,0,0,16,0.698653,3.25,648,1,0.321462,989.9,9112.65,1,0.329854,986,9120,1,0.317227,991,9103
9,1919,9,7.24444,20,16,1.40894,0.99,184,0,0,16,0.687111,3.5,648,1,0.322838,989.85,9113,1,0.329854,986,9120,1,0.318565,991,9119
10,2087,10,7.25594,20,16,1.36805,0.99,200,0,0,16,0.678628,3.95,648,1,0.323857,989.65,9112.9,1,0.329854,986,9120,1,0.32,989,9114
11,2248,11,7.24876,20,16,1.33124,0.99,216,0,0,16,0.667542,3.85,648,1,0.325335,989.65,9112,1,0.333333,986,9120,1,0.320755,991,9115
12,2409,12,7.29354,20,16,1.29812,0.99,232,0,0,16,0.66686,3.45,648,1,0.326982,989.45,9111.9,1,0.333333,986,9120,1,0.322851,991,9107
13,2572,13,7.28697,20,16,1.26831,0.99,248,0,0,16,0.656791,4.15,648,1,0.327369,989.45,9112.05,1,0.333333,986,9120,1,0.323529,991,9112
14,2740,14,7.31541,20,16,1.24148,0.99,264,0,0,16,0.655569,2.95,648,1,0.328942,989.45,9112.05,1,0.333333,986,9120,1,0.32636,989,9111
15,2905,15,7.33137,20,16,1.21733,0.99,280,0,0,16,0.652063,3.05,648,1,0.329884,989.45,9112.8,1,0.333333,986,9128,1,0.32636,992,9102
16,3063,16,7.33716,20,16,1.1956,0.99,296,0,0,16,0.650689,3.05,648,1,0.331518,989.55,9113.95,1,0.342975,992,9116,1,0.328452,989,9127
17,3230,17,7.3325,20,16,1.17604,0.99,312,0,0,16,0.652012,3.4,648,1,0.333218,989.75,9113.9,1,0.342975,992,9116,1,0.329854,989,9113
18,3395,18,7.3718,20,16,1.15843,0.99,328,0,0,16,0.649481,3.75,648,1,0.334085,989.75,9114.35,1,0.342975,992,9116,1,0.329854,991,9095
19,3556,19,7.34468,20,16,1.14259,0.99,344,0,0,16,0.638416,3.75,648,1,0.33488,989.5,9117.15,1,0.342975,992,9116,1,0.330544,990,9121
20,3730,20,7.36753,20,16,1.12833,0.99,360,0,0,16,0.632898,4.25,648,1,0.335885,989.5,9117.35,1,0.342975,992,9116,1,0.331942,987,9123
21,3901,21,7.38529,20,16,1.1155,0.99,376,0,0,16,0.625786,4.3,648,1,0.336059,990,9118.25,1,0.342975,992,9116,1,0.331942,988,9129
22,4069,22,7.40589,20,16,1.10395,0.99,392,0,0,16,0.620283,3.75,648,1,0.337062,989.8,9118.3,1,0.342975,992,9116,1,0.333333,986,9128
23,4226,23,7.33793,20,16,1.09355,0.99,408,0,0,16,0.621412,3.65,648,1,0.33844,990.3,9117.15,1,0.345041,990,9128,1,0.334719,989,9115
24,4394,24,7.33716,20,16,1.0842,0.892,424,0,0,16,0.612749,4.45,648,1,0.33844,990.35,9117.35,1,0.345041,990,9128,1,0.334719,990,9119
25,4543,25,7.31833,20,16,1.07578,0.9018,440,0,0,16,0.609629,4.55,648,1,0.339714,990.2,9116,1,0.345041,990,9128,1,0.3361,987,9124
26,4691,26,7.29904,20,16,1.07199,0.9018,456,0,0,16,0.60821,4.2,648,1,0.339854,990.25,9115.05,1,0.345041,990,9128,1,0.3361,990,9116
27,4839,27,7.33069,20,16,1.06479,0.91062,472,0,0,16,0.606824,3.7,648,1,0.340748,990.05,9115.25,1,0.346392,991,9113,1,0.336798,989,9112
28,4987,28,7.27757,20,16,1.05831,0.918558,488,0,0,16,0.605227,3.75,648,1,0.342016,990.55,9114.65,1,0.347737,991,9114,1,0.338174,992,9120
29,5135,29,7.2677,20,16,1.05248,0.925702,504,0,0,16,0.605868,2.9,648,1,0.342805,990.85,9115.2,1,0.347737,991,9114,1,0.339545,992,9112
30,5282,30,7.24376,20,16,1.04723,0.932132,520,0,0,16,0.604382,3.3,648,1,0.343488,991.05,9117.25,1,0.347737,991,9114,1,0.341615,990,9129
31,5428,31,7.20335,20,16,1.04251,0.937919,536,0,0,16,0.606064,3.8,648,1,0.34451,991.25,9115.8,1,0.351129,991,9113,1,0.341615,991,9115
32,5575,32,7.24171,20,16,1.03826,0.943127,552,0,0,16,0.60991,3.5,648,1,0.347156,991.3,9115.75,1,0.355828,991,9114,1,0.342975,992,9114
33,5721,33,7.17676,20,16,1.03443,0.947814,568,0,0,16,0.611231,3,648,1,0.348173,991.15,9114.4,1,0.355828,991,9114,1,0.342975,992,9117
34,5869,34,7.17853,20,16,1.03099,0.952033,584,0,0,16,0.610096,3.3,648,1,0.349495,991.2,9114.65,1,0.355828,991,9114,1,0.345041,991,9110
35,6019,35,7.14146,20,16,1.02789,0.95583,600,0,0,16,0.609803,3.85,648,1,0.350811,991.15,9114.75,1,0.355828,991,9117,1,0.346392,991,9113
36,6168,36,7.1274,20,16,1.0251,0.959247,616,0,0,16,0.605254,3.4,648,1,0.351557,991.1,9115.45,1,0.355828,991,9117,1,0.347737,991,9114
37,6318,37,7.13186,20,16,1.02259,0.962322,632,0,0,16,0.608562,3.25,648,1,0.353442,991.15,9115.8,1,0.359184,991,9114,1,0.349076,991,9114
37,0,37,7.13186,20,16,1.02259,0.962322,632,0,20,0,0.608562,3.25,648,1,0.353442,991.15,9115.8,1,0.359184,991,9114,1,0.349076,991,9114
38,147,38,7.13579,20,16,1.02033,0.96509,648,0,20,16,0.986045,3.6,648,1,0.35465,991.15,9115.55,1,0.363821,992,9113,1,0.351129,991,9113
39,292,39,7.15913,20,16,1.0183,0.967581,664,0,20,16,0.804234,3.55,648,1,0.356261,991.2,9115.65,1,0.363821,992,9113,1,0.352459,991,9113
40,438,40,7.07727,20,16,1.01647,0.969823,680,0,20,16,0.718508,3.7,648,1,0.357931,991,9114.3,1,0.363821,992,9113,1,0.354508,992,9125
41,584,41,7.02399,20,16,1.01482,0.97184,696,0,20,16,0.710439,3.8,648,1,0.358966,991.3,9113.95,1,0.363821,992,9114,1,0.355828,991,9114
42,728,42,7.065,20,16,1.01334,0.973656,712,0,20,16,0.69581,2.45,648,1,0.360633,991.35,9113.35,1,0.363821,992,9114,1,0.357143,990,9112
