GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.32765,36,24,2,0.99,36,0,0,0,0,0,105,0.237583,992.028,0.311321,990,0.195876,991
1,33,1,7.28664,36,24,1.95,0.99,60,0,0,24,0.680752,1,105,0.255655,992.278,0.311321,990,0.232323,986
2,50,2,7.25665,36,24,1.855,0.99,84,0,0,24,0.698818,1.72222,105,0.265481,992.25,0.320755,991,0.24,993
3,65,3,7.22283,36,24,1.7695,0.99,108,0,0,24,0.658135,2.27778,105,0.271246,992.139,0.320755,991,0.25,991
4,80,4,7.21073,36,24,1.69255,0.99,132,0,0,24,0.658121,2.77778,105,0.278575,992.25,0.320755,991,0.257426,994
5,95,5,7.17824,36,24,1.62329,0.99,156,0,0,24,0.652524,2.86111,105,0.286644,991.639,0.320755,991,0.264706,995
6,111,6,7.17336,36,24,1.56097,0.99,180,0,0,24,0.632407,3.61111,105,0.288979,991.583,0.320755,991,0.27451,991
7,126,7,7.14234,36,24,1.50487,0.99,204,0,0,24,0.615947,3.97222,105,0.294085,991.194,0.320755,992,0.27451,993
8,142,8,7.12032,36,24,1.45438,0.99,228,0,0,24,0.611784,3.55556,105,0.297776,991.472,0.336449,992,0.281553,992
9,158,9,7.06406,36,24,1.40894,0.99,252,0,0,24,0.602021,3.77778,105,0.301728,991,0.336449,992,0.288462,984
10,174,10,7.09005,36,24,1.36805,0.892,276,0,0,24,0.582805,4.66667,105,0.301806,991.528,0.336449,992,0.288462,991
11,187,11,6.95624,36,24,1.33124,0.9018,300,0,0,24,0.590372,4.02778,105,0.309912,990.722,0.336449,992,0.295238,993
12,200,12,6.8752,36,24,1.29812,0.91062,324,0,0,24,0.597957,3.5,105,0.31299,990.306,0.336449,992,0.298077,992
13,213,13,6.76487,36,24,1.26831,0.918558,348,0,0,24,0.60588,3.25,105,0.320383,989.972,0.342593,992,0.304762,991
14,226,14,6.74463,36,24,1.24148,0.925702,370,0,2,24,0.612166,2.94444,105,0.325367,990,0.342593,994,0.314286,992
15,239,15,6.77397,36,24,1.21733,0.932132,394,0,2,24,0.615481,3.27778,105,0.327554,990.861,0.342593,995,0.320755,987
16,252,16,6.7968,36,24,1.1956,0.937919,417,0,3,24,0.618601,3.30556,105,0.331985,991.556,0.361111,993,0.320755,992
17,266,17,6.75229,36,24,1.17604,0.943127,441,0,3,24,0.619064,3.36111,105,0.335034,990.917,0.361111,993,0.320755,995
18,279,18,6.698,36,24,1.15843,0.947814,465,0,3,24,0.61706,3.27778,105,0.337192,991.389,0.361111,993,0.327103,992
19,292,19,6.73253,36,24,1.14259,0.952033,489,0,3,24,0.61796,3.58333,105,0.339696,991.889,0.361111,993,0.333333,990
20,306,20,6.67155,36,24,1.12833,0.95583,513,0,3,24,0.618089,3.61111,105,0.341147,992.472,0.361111,993,0.336449,992
21,320,21,6.68232,36,24,1.1155,0.959247,537,0,3,24,0.613392,4.41667,105,0.341916,992.528,0.361111,993,0.336449,992
22,333,22,6.76566,36,24,1.10395,0.962322,561,0,3,24,0.616128,3.63889,105,0.344912,992.889,0.361111,993,0.336449,993
23,347,23,6.75313,36,24,1.09355,0.96509,585,0,3,24,0.616507,3.83333,105,0.347122,992.917,0.366972,994,0.342593,992
24,360,24,6.82591,36,24,1.0842,0.967581,609,0,3,24,0.61386,3.55556,105,0.348058,993.25,0.366972,994,0.342593,993
25,373,25,6.84731,36,24,1.07578,0.969823,633,0,3,24,0.608304,4.13889,105,0.348995,993.139,0.366972,994,0.342593,994
26,387,26,6.8544,36,24,1.0682,0.87384,657,0,3,24,0.605121,4.38889,105,0.34951,993.028,0.366972,994,0.342593,994
27,400,27,6.72793,36,24,1.06138,0.885456,680,0,4,24,0.60525,3.94444,105,0.35132,992.611,0.366972,994,0.342593,995
