GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.32765,36,24,2,0.99,36,0,0,0,0,0,105,992.028,9559.94,996,9553,985,9565
1,34,1,7.26682,36,24,1.95,0.99,60,0,0,24,0.705254,1,105,993.389,9559.08,996,9553,992,9558
2,50,2,7.256,36,24,1.855,0.99,84,0,0,24,0.703847,1.63889,105,994,9558.56,996,9558,993,9557
3,65,3,7.21729,36,24,1.7695,0.892,108,0,0,24,0.650863,2.33333,105,994.111,9558.94,996,9558,993,9560
4,77,4,7.1004,36,24,1.69255,0.9018,131,0,1,24,0.652132,2.38889,105,994.556,9559.17,996,9558,994,9558
5,90,5,7.01212,36,24,1.62329,0.91062,154,0,2,24,0.658578,2.86111,105,994.722,9559.56,996,9558,994,9560
6,103,6,6.93484,36,24,1.56097,0.918558,178,0,2,24,0.649752,2.94444,105,995,9558.44,996,9558,994,9566
7,115,7,6.87958,36,24,1.50487,0.925702,202,0,2,24,0.63945,3.5,105,995.111,9558.17,996,9558,995,9556
8,128,8,6.8791,36,24,1.45438,0.932132,226,0,2,24,0.630721,4.08333,105,995.111,9558.67,996,9558,995,9557
9,141,9,6.94383,36,24,1.40894,0.937919,250,0,2,24,0.631186,3.75,105,995.167,9559.69,996,9558,995,9558
10,155,10,6.90496,36,24,1.36805,0.943127,274,0,2,24,0.634151,4.08333,105,995.278,9559.36,996,9558,995,9559
11,168,11,6.85524,36,24,1.33124,0.947814,298,0,2,24,0.632846,3.5,105,995.361,9559.64,996,9558,995,9560
12,181,12,6.88273,36,24,1.29812,0.854033,322,0,2,24,0.619649,4.18919,105,995.351,9559.89,996,9558,995,9560
13,194,13,6.80643,36,24,1.28321,0.854033,346,0,2,24,0.617381,4.08108,105,995.541,9559.11,996,9558,995,9561
14,206,14,6.77252,36,24,1.25489,0.86763,368,0,4,24,0.62008,3.5,105,995.694,9557.75,996,9559,995,9563
15,219,15,6.4813,36,24,1.24215,0.86763,391,0,5,24,0.617317,3.13889,105,996,9554.78,996,9559,996,9546
16,232,16,6.26388,36,24,1.21793,0.879867,414,0,6,24,0.617165,3.5,105,996,9556.06,996,9559,996,9554
17,244,17,6.32649,36,24,1.19614,0.89088,438,0,6,24,0.615952,3.80556,105,996,9556.47,996,9559,996,9555
18,257,18,6.29475,36,24,1.17653,0.900792,462,0,6,24,0.610114,4.27778,105,996,9556.64,996,9559,996,9556
19,270,19,6.35728,36,24,1.15887,0.909713,486,0,6,24,0.611445,4.63889,105,996,9556.81,996,9559,996,9556
20,282,20,6.33954,36,24,1.14299,0.917741,510,0,6,24,0.608973,4.80556,105,996,9557.06,996,9560,996,9556
21,295,21,6.30484,36,24,1.13584,0.917741,534,0,6,24,0.60711,4.97222,105,996,9557.19,996,9560,996,9556
22,308,22,6.24556,36,24,1.12225,0.924967,558,0,6,24,0.60386,4.77778,105,996,9557.42,996,9560,996,9556
23,321,23,6.35589,36,24,1.11003,0.931471,582,0,6,24,0.604045,4.36111,105,996,9557.72,996,9560,996,9557
24,334,24,6.40386,36,24,1.09902,0.937324,606,0,6,24,0.601749,4.69444,105,996,9557.92,996,9561,996,9557
25,347,25,6.40386,36,24,1.08912,0.942591,630,0,6,24,0.590888,5.69444,105,996,9557.92,996,9561,996,9557
26,360,26,6.44999,36,24,1.08021,0.947332,654,0,6,24,0.582652,6.13889,105,996,9557.97,996,9561,996,9557
27,373,27,6.51808,36,24,1.07219,0.951599,678,0,6,24,0.585089,5.33333,105,996,9558.19,996,9561,996,9557
28,386,28,6.53929,36,24,1.06497,0.955439,702,0,6,24,0.578454,6.05556,105,996,9558.22,996,9561,996,9557
