GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.42068,36,24,2,0.99,36,0,0,0,0,0,163,0.296317,0.339869,0.253425
1,40,1,7.37512,36,24,1.9,0.99,60,0,0,24,0.791917,1,163,0.31572,0.348387,0.290541
2,61,2,7.33745,36,24,1.81,0.99,84,0,0,24,0.74717,1.72222,163,0.324292,0.360759,0.304636
3,83,3,7.32684,36,24,1.729,0.99,108,0,0,24,0.726409,2.11111,163,0.331326,0.360759,0.317881
4,104,4,7.33949,36,24,1.6561,0.99,132,0,0,24,0.685816,2.52778,163,0.333649,0.360759,0.322368
5,126,5,7.31757,36,24,1.59049,0.99,156,0,0,24,0.683903,2.83333,163,0.338209,0.360759,0.328947
6,146,6,7.30362,36,24,1.53144,0.99,180,0,0,24,0.673323,3.47222,163,0.340608,0.360759,0.331169
7,167,7,7.27378,36,24,1.4783,0.99,204,0,0,24,0.667293,3.66667,163,0.344815,0.36875,0.333333
8,189,8,7.28325,36,24,1.43047,0.99,228,0,0,24,0.670962,3.66667,163,0.350858,0.3875,0.337662
9,212,9,7.29942,36,24,1.38742,0.99,252,0,0,24,0.664497,3.5,163,0.355214,0.3875,0.341935
10,235,10,7.29678,36,24,1.34868,0.99,276,0,0,24,0.650733,3.72222,163,0.35734,0.3875,0.346154
11,259,11,7.2858,36,24,1.31381,0.99,300,0,0,24,0.643684,3.52778,163,0.361231,0.3875,0.348387
12,280,12,7.26939,36,24,1.28243,0.99,324,0,0,24,0.636463,3.66667,163,0.364275,0.3875,0.352564
13,302,13,7.25148,36,24,1.25419,0.99,348,0,0,24,0.631609,3.52778,163,0.367504,0.3875,0.356688
14,322,14,7.23078,36,24,1.22877,0.99,372,0,0,24,0.618141,3.94444,163,0.368185,0.3875,0.358974
15,345,15,7.2366,36,24,1.20589,0.99,396,0,0,24,0.614335,4.30556,163,0.369785,0.3875,0.363057
16,367,16,7.22519,36,24,1.1853,0.99,420,0,0,24,0.602796,4.83333,163,0.371433,0.39375,0.36478
17,391,17,7.21778,36,24,1.16677,0.99,444,0,0,24,0.597235,5.22222,163,0.372202,0.39375,0.36478
18,413,18,7.21804,36,24,1.15009,0.892,468,0,0,24,0.585367,5.25,163,0.371984,0.39375,0.36478
19,431,19,7.17274,36,24,1.13509,0.9018,492,0,0,24,0.59072,3.75,163,0.375032,0.39375,0.367089
