GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.42068,36,24,2,0.99,36,0,0,0,0,0,163,991,9743.72,995,9746,982,9748
1,45,1,7.38862,36,24,1.9,0.99,60,0,0,24,0.708591,1,163,992.972,9744.44,995,9746,991,9746
2,65,2,7.36659,36,24,1.81,0.99,84,0,0,24,0.68046,1.69444,163,993.639,9742.81,995,9746,992,9752
3,87,3,7.34853,36,24,1.729,0.99,108,0,0,24,0.666024,2.25,163,993.917,9742.64,995,9746,993,9746
4,108,4,7.32987,36,24,1.6561,0.99,132,0,0,24,0.656175,2.63889,163,994.194,9741.31,995,9751,994,9736
5,130,5,7.34985,36,24,1.59049,0.99,156,0,0,24,0.637281,3.22222,163,994.222,9742.22,995,9751,994,9738
6,149,6,7.35396,36,24,1.53144,0.99,180,0,0,24,0.615769,3.66667,163,994.278,9742.89,995,9751,994,9740
7,171,7,7.3421,36,24,1.4783,0.99,204,0,0,24,0.614015,3.94444,163,994.333,9744.06,995,9751,994,9741
8,192,8,7.3142,36,24,1.43047,0.99,228,0,0,24,0.596952,4.22222,163,994.361,9744.64,995,9751,994,9742
9,215,9,7.29322,36,24,1.38742,0.99,252,0,0,24,0.589111,4.55556,163,994.444,9745.11,995,9751,994,9743
10,238,10,7.28123,36,24,1.34868,0.99,276,0,0,24,0.582791,5.13889,163,994.5,9745.69,995,9751,994,9744
11,259,11,7.29432,36,24,1.31381,0.99,300,0,0,24,0.569414,4.75,163,994.472,9745.64,995,9751,994,9744
12,280,12,7.28065,36,24,1.28243,0.99,324,0,0,24,0.564148,4.55556,163,994.528,9745.97,995,9751,994,9746
13,301,13,7.29584,36,24,1.25419,0.99,348,0,0,24,0.557679,4.88889,163,994.583,9746.28,995,9752,994,9746
14,321,14,7.27961,36,24,1.22877,0.99,372,0,0,24,0.561169,4.33333,163,994.722,9746.14,995,9752,994,9748
15,344,15,7.24766,36,24,1.20589,0.99,396,0,0,24,0.55572,4.58333,163,994.778,9746.11,995,9752,994,9749
16,365,16,7.23326,36,24,1.1853,0.99,420,0,0,24,0.54976,4.94444,163,994.833,9745.92,995,9752,994,9750
17,389,17,7.23788,36,24,1.16677,0.99,444,0,0,24,0.537362,4.83333,163,994.861,9745.25,995,9752,994,9750
18,411,18,7.2024,36,24,1.15843,0.892,468,0,0,24,0.532197,5.08333,163,994.944,9744.72,995,9752,994,9752
19,428,19,7.09157,36,24,1.14259,0.9018,492,0,0,24,0.53277,4.16667,163,995,9745.56,995,9752,995,9741
20,446,20,7.10159,36,24,1.12833,0.91062,516,0,0,24,0.718059,3.61111,163,995,9747.19,995,9753,995,9744
21,463,21,7.0326,36,24,1.1155,0.918558,540,0,0,24,0.675308,3.41667,163,995,9748.25,995,9754,995,9746
