GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.30899,36,24,2,0.99,36,0,0,0,0,0,98,0.278095,0.333333,0.21978
1,56,1,7.26632,36,24,1.95,0.99,60,0,0,24,0.70843,1,98,0.297651,0.333333,0.273684
2,83,2,7.22919,36,24,1.855,0.99,84,0,0,24,0.755462,1.66667,98,0.313551,0.36,0.291667
3,109,3,7.19956,36,24,1.7695,0.99,108,0,0,24,0.743188,2.08333,98,0.322327,0.36,0.30303
4,136,4,7.2166,36,24,1.69255,0.99,132,0,0,24,0.69722,2.63889,98,0.326579,0.36,0.309278
5,162,5,7.21001,36,24,1.62329,0.99,156,0,0,24,0.681055,2.86111,98,0.330963,0.36,0.316327
6,188,6,7.20113,36,24,1.56097,0.99,180,0,0,24,0.651389,3.52778,98,0.332934,0.36,0.316327
7,215,7,7.1885,36,24,1.50487,0.99,204,0,0,24,0.629214,3.80556,98,0.336142,0.36,0.323232
8,242,8,7.16525,36,24,1.45438,0.99,228,0,0,24,0.613613,4.16667,98,0.338373,0.36,0.326531
9,269,9,7.15732,36,24,1.40894,0.99,252,0,0,24,0.609448,4.69444,98,0.341731,0.36,0.326531
10,295,10,7.13059,36,24,1.36805,0.99,276,0,0,24,0.611524,4.83333,98,0.346478,0.380952,0.333333
11,323,11,7.10334,36,24,1.33124,0.99,300,0,0,24,0.609414,4.86111,98,0.348973,0.380952,0.333333
12,350,12,7.12782,36,24,1.29812,0.99,324,0,0,24,0.592113,4.47222,98,0.348034,0.380952,0.326531
13,376,13,7.08927,36,24,1.26831,0.99,348,0,0,24,0.578026,4.33333,98,0.348896,0.380952,0.333333
14,402,14,7.01834,36,24,1.24148,0.99,372,0,0,24,0.573402,4.63889,98,0.351031,0.380952,0.336735
15,429,15,7.03996,36,24,1.21733,0.99,395,0,1,24,0.567164,4.77778,98,0.351952,0.380952,0.34
16,457,16,7.02392,36,24,1.1956,0.99,419,0,1,24,0.567021,4.86111,98,0.354413,0.380952,0.343434
17,484,17,7.01075,36,24,1.17604,0.99,443,0,1,24,0.567268,5.19444,98,0.356585,0.380952,0.35
18,515,18,7.00797,36,24,1.15843,0.99,467,0,1,24,0.569243,5.25,98,0.361393,0.409524,0.35
19,541,19,7.00332,36,24,1.14259,0.99,491,0,1,24,0.565799,5.13889,98,0.361949,0.409524,0.35
20,567,20,7.00758,36,24,1.12833,0.99,515,0,1,24,0.5669,4.19444,98,0.365371,0.409524,0.35
21,595,21,7.06745,36,24,1.1155,0.99,539,0,1,24,0.56886,3.91667,98,0.368115,0.409524,0.356436
22,623,22,7.06409,36,24,1.10395,0.99,563,0,1,24,0.566466,4.36111,98,0.370169,0.409524,0.36
23,650,23,7.06796,36,24,1.09355,0.99,587,0,1,24,0.562174,4.88889,98,0.371659,0.409524,0.36
24,675,24,7.10132,36,24,1.0842,0.99,611,0,1,24,0.559036,4.41667,98,0.375254,0.409524,0.36
25,702,25,7.08625,36,24,1.07578,0.99,635,0,1,24,0.558038,4.22222,98,0.377893,0.409524,0.366337
26,728,26,7.07346,36,24,1.0682,0.892,659,0,1,24,0.551065,4.94444,98,0.377821,0.409524,0.366337
27,752,27,7.0387,36,24,1.06138,0.9018,682,0,2,24,0.552731,4.80556,98,0.381476,0.409524,0.368932
28,775,28,6.96093,36,24,1.05524,0.91062,706,0,2,24,0.556103,4.32432,98,0.385257,0.409524,0.376238
29,799,29,6.93939,36,24,1.04972,0.820558,730,0,2,24,0.555721,4.51351,98,0.38618,0.409524,0.378641
30,826,30,6.87123,36,24,1.04475,0.837502,754,0,2,24,0.558918,3.75676,98,0.388302,0.409524,0.382353
31,850,31,6.79067,36,24,1.04027,0.852752,777,0,3,24,0.564718,3.83784,98,0.391077,0.409524,0.382353
32,875,32,6.72376,36,24,1.03624,0.866477,801,0,3,24,0.567534,3.35135,98,0.394346,0.409524,0.384615
33,901,33,6.579,36,24,1.03262,0.878829,824,0,4,24,0.801144,2.58333,98,0.400831,0.424528,0.38835
34,924,34,6.37718,36,24,1.02936,0.889946,848,0,4,24,0.717157,2.80556,98,0.405391,0.424528,0.394231
35,951,35,6.24635,36,24,1.02642,0.899952,872,0,4,24,0.734388,3,98,0.409096,0.424528,0.403846
36,975,36,6.05439,36,24,1.02378,0.908956,896,0,4,24,0.71075,3.63889,98,0.410042,0.424528,0.403846
37,998,37,6.08016,36,24,1.02259,0.819061,920,0,4,24,0.677512,4.02778,98,0.410357,0.424528,0.409524
38,1022,38,6.09612,36,24,1.02033,0.836155,944,0,4,24,0.687637,4.47222,98,0.411191,0.424528,0.409524
39,1045,39,6.09687,36,24,1.0183,0.851539,968,0,4,24,0.693863,5.41667,98,0.411346,0.424528,0.409524
40,1070,40,6.11994,36,24,1.01647,0.865385,992,0,4,24,0.695285,6.05556,98,0.412326,0.439252,0.409524
41,1094,41,6.1408,36,24,1.01482,0.877847,1016,0,4,24,0.694564,5.97222,98,0.413843,0.439252,0.409524
42,1118,42,6.16414,36,24,1.01334,0.889062,1040,0,4,24,0.697274,5.72222,98,0.415966,0.439252,0.409524
43,1142,43,6.22881,36,24,1.01201,0.899156,1064,0,4,24,0.701175,3.94444,98,0.419495,0.439252,0.409524
44,1167,44,6.27891,36,24,1.01081,0.90824,1088,0,4,24,0.690815,3,98,0.42219,0.439252,0.415094
45,1192,45,6.26032,36,24,1.00972,0.916416,1112,0,4,24,0.693095,3.11111,98,0.424579,0.439252,0.415094
46,1217,46,6.23369,36,24,1.00875,0.923775,1136,0,4,24,0.685589,3.58333,98,0.42616,0.439252,0.419048
47,1242,47,6.25224,36,24,1.00788,0.930397,1160,0,4,24,0.672253,4.11111,98,0.427026,0.439252,0.424528
48,1266,48,6.30485,36,24,1.00709,0.936357,1184,0,4,24,0.66458,4.44444,98,0.427773,0.439252,0.424528
49,1290,49,6.29369,36,24,1.00638,0.941722,1207,0,5,24,0.663586,4.94444,98,0.428926,0.439252,0.424528
50,1316,50,6.28056,36,24,1.00574,0.84855,1231,0,5,24,0.654953,5.54054,98,0.429386,0.439252,0.424528
51,1340,51,6.21119,36,24,1.00517,0.862695,1255,0,5,24,0.653496,4.51351,98,0.430947,0.439252,0.424528
52,1365,52,6.20702,36,24,1.00465,0.875425,1279,0,5,24,0.652734,4.67568,98,0.431488,0.439252,0.429907
53,1389,53,6.22702,36,24,1.00442,0.875425,1302,0,6,24,0.655421,5.08108,98,0.431916,0.439252,0.429907
54,1413,54,6.24404,36,24,1.00398,0.886883,1326,0,6,24,0.655144,5.18919,98,0.433101,0.439252,0.429907
55,1437,55,6.23871,36,24,1.00358,0.897194,1350,0,6,24,0.655509,5.40541,98,0.433639,0.439252,0.429907
56,1464,56,6.24503,36,24,1.00322,0.906475,1373,0,7,24,0.65193,5.2973,98,0.434539,0.439252,0.429907
57,1491,57,6.27483,36,24,1.0029,0.914827,1397,0,7,24,0.649388,4.97222,98,0.435769,0.453704,0.429907
58,1517,58,6.27599,36,24,1.00261,0.922345,1421,0,7,24,0.647921,4.02778,98,0.437827,0.453704,0.435185
59,1541,59,6.32313,36,24,1.00235,0.92911,1445,0,7,24,0.644395,4.41667,98,0.438341,0.453704,0.435185
60,1567,60,6.36413,36,24,1.00211,0.935199,1469,0,7,24,0.644364,4.94444,98,0.438937,0.453704,0.435185
61,1592,61,6.38489,36,24,1.0019,0.940679,1493,0,7,24,0.637688,5.55556,98,0.439194,0.453704,0.435185
62,1616,62,6.46468,36,24,1.00171,0.945611,1517,0,7,24,0.635543,5.33333,98,0.440192,0.453704,0.435185
63,1640,63,6.488,36,24,1.00154,0.95005,1541,0,7,24,0.631875,5.5,98,0.440737,0.453704,0.435185
64,1664,64,6.52521,36,24,1.00139,0.954045,1565,0,7,24,0.625203,4.83333,98,0.44059,0.453704,0.433962
65,1690,65,6.48231,36,24,1.00125,0.957641,1589,0,7,24,0.623956,4.91667,98,0.44191,0.453704,0.435185
66,1717,66,6.53335,36,24,1.00112,0.960877,1613,0,7,24,0.620042,5.30556,98,0.442571,0.453704,0.439252
67,1743,67,6.55278,36,24,1.00101,0.963789,1637,0,7,24,0.617211,5.89189,98,0.442762,0.453704,0.439252
68,1767,68,6.59409,36,24,1.00091,0.96641,1661,0,7,24,0.614469,5.7027,98,0.443183,0.453704,0.439252
69,1792,69,6.61191,36,24,1.00086,0.870769,1685,0,7,24,0.61158,5.59459,98,0.443041,0.453704,0.429907
70,1817,70,6.55375,36,24,1.00082,0.870769,1709,0,7,24,0.607732,5.27027,98,0.444135,0.453704,0.439252
71,1840,71,6.51985,36,24,1.00078,0.870769,1733,0,7,24,0.607993,4.35135,98,0.445057,0.453704,0.444444
72,1864,72,6.53429,36,24,1.0007,0.882692,1756,0,8,24,0.608724,4.51351,98,0.44542,0.453704,0.444444
