GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.85542,36,24,2,0.99,36,0,0,0,0,0,660,0.442935,0.480061,0.403566
1,204,1,7.8111,36,24,1.95,0.99,60,0,0,24,0.755098,1,660,0.459527,0.480061,0.443574
2,306,2,7.77656,36,24,1.855,0.99,84,0,0,24,0.758941,1.61111,660,0.46546,0.480061,0.455538
3,404,3,7.73592,36,24,1.7695,0.99,108,0,0,24,0.744561,1.94444,660,0.471017,0.489394,0.463339
4,505,4,7.67996,36,24,1.69255,0.99,132,0,0,24,0.745082,2.36111,660,0.473742,0.489394,0.467919
5,617,5,7.65679,36,24,1.62329,0.99,156,0,0,24,0.723585,2.55556,660,0.476286,0.489394,0.470138
6,724,6,7.62221,36,24,1.56097,0.99,180,0,0,24,0.719343,2.58333,660,0.479097,0.498489,0.472477
7,829,7,7.61181,36,24,1.50487,0.99,204,0,0,24,0.721679,2.77778,660,0.482294,0.503012,0.475232
8,932,8,7.60836,36,24,1.45438,0.99,228,0,0,24,0.720353,2.66667,660,0.486214,0.503012,0.479326
9,1035,9,7.60311,36,24,1.40894,0.99,252,0,0,24,0.715993,2.52778,660,0.488688,0.503012,0.48228
10,1148,10,7.60558,36,24,1.36805,0.99,276,0,0,24,0.710742,3.19444,660,0.491514,0.512668,0.484067
11,1247,11,7.59562,36,24,1.33124,0.99,300,0,0,24,0.711879,2.77778,660,0.494539,0.512668,0.487879
12,1353,12,7.56132,36,24,1.29812,0.99,324,0,0,24,0.706673,2.75,660,0.497431,0.514837,0.490854
13,1455,13,7.53891,36,24,1.26831,0.99,348,0,0,24,0.701797,3,660,0.499285,0.514837,0.492447
14,1563,14,7.49961,36,24,1.24148,0.99,372,0,0,24,0.696919,3.11111,660,0.501608,0.514837,0.495482
15,1672,15,7.48479,36,24,1.21733,0.99,396,0,0,24,0.683712,3.72222,660,0.50236,0.514837,0.496988
16,1775,16,7.4766,36,24,1.1956,0.99,420,0,0,24,0.678774,3.72222,660,0.504226,0.520649,0.498489
17,1876,17,7.4273,36,24,1.17604,0.99,444,0,0,24,0.674664,3.66667,660,0.505539,0.520649,0.5
18,1979,18,7.44069,36,24,1.15843,0.99,468,0,0,24,0.671278,3.47222,660,0.507407,0.520649,0.502256
19,2083,19,7.45603,36,24,1.14259,0.99,492,0,0,24,0.668498,4.05556,660,0.509036,0.521545,0.504491
20,2192,20,7.46805,36,24,1.12833,0.99,516,0,0,24,0.670652,3.38889,660,0.511268,0.525773,0.506706
21,2298,21,7.47375,36,24,1.1155,0.99,540,0,0,24,0.668146,3.41667,660,0.51282,0.525773,0.507508
22,2415,22,7.49136,36,24,1.10395,0.99,564,0,0,24,0.665371,3.11111,660,0.514199,0.525773,0.508929
23,2529,23,7.52121,36,24,1.09355,0.99,588,0,0,24,0.663386,3,660,0.516312,0.529412,0.510448
24,2638,24,7.50063,36,24,1.0842,0.99,612,0,0,24,0.661792,3.33333,660,0.518405,0.529412,0.511976
25,2739,25,7.50353,36,24,1.07578,0.99,636,0,0,24,0.659617,3.52778,660,0.519577,0.529412,0.514793
26,2842,26,7.51866,36,24,1.0682,0.99,660,0,0,24,0.65319,3.44444,660,0.520275,0.529412,0.515742
27,2951,27,7.5334,36,24,1.06138,0.99,684,0,0,24,0.647801,3.94444,660,0.521033,0.529412,0.516517
28,3052,28,7.54152,36,24,1.05524,0.99,708,0,0,24,0.648614,3.86111,660,0.522404,0.529499,0.519174
29,3154,29,7.54031,36,24,1.04972,0.99,732,0,0,24,0.642714,4.11111,660,0.52315,0.529499,0.519403
30,3259,30,7.54811,36,24,1.04475,0.99,756,0,0,24,0.641627,4.22222,660,0.52403,0.531664,0.520119
31,3365,31,7.54645,36,24,1.04027,0.99,780,0,0,24,0.638468,3.77778,660,0.525045,0.535294,0.521545
32,3468,32,7.54499,36,24,1.03624,0.99,804,0,0,24,0.637987,3.75,660,0.525823,0.535294,0.522255
33,3574,33,7.56211,36,24,1.03262,0.99,828,0,0,24,0.632642,3.52778,660,0.526502,0.535294,0.522963
34,3675,34,7.57457,36,24,1.02936,0.99,852,0,0,24,0.632305,3.44444,660,0.527382,0.535294,0.523529
35,3776,35,7.53203,36,24,1.02642,0.99,876,0,0,24,0.631472,3.55556,660,0.528783,0.537226,0.524444
36,3881,36,7.53002,36,24,1.02378,0.99,900,0,0,24,0.63333,3.69444,660,0.530666,0.539244,0.525849
37,3988,37,7.52339,36,24,1.0214,0.99,924,0,0,24,0.63108,3.80556,660,0.5317,0.539244,0.527941
38,4097,38,7.51695,36,24,1.02033,0.99,948,0,0,24,0.629402,3.66667,660,0.532364,0.539244,0.528889
39,4198,39,7.51663,36,24,1.0183,0.99,972,0,0,24,0.627573,3.86111,660,0.533202,0.539244,0.529499
40,4307,40,7.52683,36,24,1.01647,0.99,996,0,0,24,0.623708,3.97222,660,0.533945,0.542398,0.530882
41,4413,41,7.52436,36,24,1.01482,0.99,1020,0,0,24,0.625146,3.88889,660,0.534955,0.542398,0.531852
42,4520,42,7.54584,36,24,1.01334,0.99,1044,0,0,24,0.626086,3.72222,660,0.536488,0.551079,0.53304
43,4622,43,7.52219,36,24,1.01201,0.99,1068,0,0,24,0.623787,3.94444,660,0.537703,0.551079,0.533137
44,4720,44,7.5131,36,24,1.01081,0.99,1092,0,0,24,0.623176,3.94444,660,0.538457,0.551079,0.534307
45,4824,45,7.52815,36,24,1.00972,0.99,1116,0,0,24,0.621795,3.83333,660,0.539393,0.551079,0.535088
46,4932,46,7.53059,36,24,1.00875,0.99,1140,0,0,24,0.616931,4,660,0.539797,0.551079,0.535398
47,5044,47,7.50869,36,24,1.00788,0.99,1164,0,0,24,0.616134,4.19444,660,0.540957,0.551079,0.536657
48,5148,48,7.50425,36,24,1.00709,0.99,1188,0,0,24,0.616584,4.13889,660,0.542619,0.555878,0.537791
49,5253,49,7.50865,36,24,1.00638,0.99,1212,0,0,24,0.61388,4.25,660,0.54353,0.555878,0.538574
50,5356,50,7.52487,36,24,1.00574,0.99,1236,0,0,24,0.614385,4.22222,660,0.545014,0.555878,0.539823
51,5457,51,7.5301,36,24,1.00517,0.99,1260,0,0,24,0.614304,4,660,0.546528,0.555878,0.540936
52,5559,52,7.52583,36,24,1.00465,0.99,1284,0,0,24,0.612423,4.08333,660,0.547692,0.558611,0.542647
53,5661,53,7.5292,36,24,1.00419,0.99,1308,0,0,24,0.612425,3.55556,660,0.549188,0.558611,0.543605
54,5763,54,7.51266,36,24,1.00377,0.99,1332,0,0,24,0.612196,3.69444,660,0.55057,0.558611,0.544656
55,5871,55,7.51637,36,24,1.00339,0.99,1356,0,0,24,0.609743,4.05556,660,0.551215,0.558611,0.545718
56,5977,56,7.51079,36,24,1.00305,0.99,1380,0,0,24,0.606705,4.44444,660,0.551736,0.558611,0.546512
57,6079,57,7.47901,36,24,1.00275,0.99,1404,0,0,24,0.604973,4.44444,660,0.552628,0.558611,0.548621
58,6179,58,7.45275,36,24,1.00247,0.99,1428,0,0,24,0.60465,4.16667,660,0.553572,0.558611,0.550365
59,6283,59,7.43283,36,24,1.00222,0.99,1452,0,0,24,0.605798,3.80556,660,0.554609,0.558611,0.55117
60,6385,60,7.43738,36,24,1.00211,0.892,1476,0,0,24,0.602882,4.08333,660,0.554659,0.558611,0.551227
61,6472,61,7.41783,36,24,1.0019,0.9018,1499,0,1,24,0.603397,3.77778,660,0.55569,0.559371,0.553161
62,6567,62,7.43689,36,24,1.00171,0.81262,1523,0,1,24,0.602374,3.52778,660,0.556072,0.559371,0.554269
63,6657,63,7.44069,36,24,1.00154,0.830358,1545,0,3,24,0.602546,3.41667,660,0.556487,0.559541,0.554913
64,6749,64,7.42607,36,24,1.00139,0.846322,1568,0,4,24,0.603172,3.58333,660,0.556833,0.559541,0.555237
65,6835,65,7.44258,36,24,1.00125,0.86069,1592,0,4,24,0.60432,3.19444,660,0.557561,0.561429,0.555878
66,6923,66,7.43989,36,24,1.00112,0.873621,1616,0,4,24,0.606325,3.25,660,0.558217,0.561429,0.556671
67,7008,67,7.44055,36,24,1.00101,0.885259,1640,0,4,24,0.606316,3.5,660,0.558912,0.567376,0.557307
68,7095,68,7.43235,36,24,1.00091,0.895733,1664,0,4,24,0.608195,2.83333,660,0.559882,0.569405,0.558273
69,7192,69,7.3774,36,24,1.00082,0.90516,1687,0,5,24,0.752397,2.91667,660,0.56151,0.571429,0.559078
70,7288,70,7.3844,36,24,1.00074,0.913644,1711,0,5,24,0.687059,2.63889,660,0.56269,0.571429,0.559541
71,7375,71,7.32425,36,24,1.00066,0.921279,1734,0,6,24,0.706697,2.38889,660,0.564713,0.571429,0.560345
72,7462,72,7.1715,36,24,1.0006,0.928151,1758,0,6,24,0.701963,2.66667,660,0.566291,0.571429,0.561429
73,7549,73,6.96906,36,24,1.00054,0.934336,1781,0,7,24,0.676162,2.75,660,0.567917,0.574048,0.562857
74,7634,74,6.96877,36,24,1.00048,0.939903,1803,0,9,24,0.674335,3.30556,660,0.568912,0.574048,0.565527
75,7728,75,6.98384,36,24,1.00044,0.944912,1827,0,9,24,0.660448,3.44444,660,0.569619,0.574048,0.567376
76,7828,76,6.98125,36,24,1.00039,0.949421,1851,0,9,24,0.656875,3.63889,660,0.570355,0.575458,0.5686
77,7920,77,6.99916,36,24,1.00035,0.953479,1875,0,9,24,0.644307,4.08333,660,0.57091,0.577465,0.569209
78,8009,78,7.01513,36,24,1.00032,0.957131,1899,0,9,24,0.642396,4.47222,660,0.571303,0.577465,0.569405
79,8101,79,7.0508,36,24,1.00029,0.960418,1923,0,9,24,0.64473,3.88889,660,0.572104,0.577465,0.570014
80,8190,80,7.06053,36,24,1.00026,0.963376,1947,0,9,24,0.649695,3.19444,660,0.572962,0.577465,0.570822
81,8283,81,7.0534,36,24,1.00023,0.966039,1971,0,9,24,0.638921,3.5,660,0.573376,0.577465,0.571429
82,8378,82,7.07374,36,24,1.00021,0.968435,1995,0,9,24,0.63971,3.63889,660,0.57449,0.581461,0.572034
83,8472,83,7.10623,36,24,1.00019,0.970591,2019,0,9,24,0.634004,3.52778,660,0.575349,0.581461,0.572238
84,8564,84,7.11401,36,24,1.00017,0.972532,2043,0,9,24,0.634853,3.44444,660,0.57633,0.581461,0.573446
85,8656,85,7.1156,36,24,1.00015,0.974279,2067,0,9,24,0.628296,4.02778,660,0.57697,0.58345,0.574048
86,8747,86,7.1481,36,24,1.00014,0.975851,2091,0,9,24,0.625762,3.83333,660,0.577866,0.58345,0.574859
87,8839,87,7.16782,36,24,1.00012,0.977266,2115,0,9,24,0.624612,3.52778,660,0.578522,0.58345,0.575458
88,8939,88,7.1936,36,24,1.00011,0.978539,2139,0,9,24,0.613759,3.91667,660,0.578689,0.58345,0.576271
89,9040,89,7.19595,36,24,1.0001,0.979685,2163,0,9,24,0.604389,4.47222,660,0.578772,0.58345,0.576653
90,9135,90,7.1853,36,24,1.00009,0.980717,2187,0,9,24,0.597567,5.25,660,0.579117,0.58345,0.576653
91,9230,91,7.18127,36,24,1.00008,0.981645,2211,0,9,24,0.590497,5.61111,660,0.579739,0.58345,0.577247
92,9327,92,7.19391,36,24,1.00007,0.982481,2235,0,9,24,0.585767,5.5,660,0.579751,0.58345,0.575458
93,9429,93,7.1953,36,24,1.00007,0.983233,2259,0,9,24,0.58028,5.47222,660,0.579838,0.58345,0.577247
94,9534,94,7.20667,36,24,1.00006,0.983909,2283,0,9,24,0.57837,4.97222,660,0.580409,0.58345,0.57784
95,9632,95,7.22035,36,24,1.00005,0.984518,2307,0,9,24,0.578751,4.63889,660,0.580977,0.586592,0.578279
96,9730,96,7.23233,36,24,1.00005,0.985067,2331,0,9,24,0.576066,4.25,660,0.581238,0.586592,0.578059
97,9829,97,7.23775,36,24,1.00004,0.98556,2355,0,9,24,0.57471,4.13889,660,0.581669,0.587169,0.578279
98,9934,98,7.2294,36,24,1.00004,0.986004,2379,0,9,24,0.570771,4.61111,660,0.582113,0.587169,0.578652
99,10037,99,7.23737,36,24,1.00003,0.986404,2403,0,9,24,0.567442,5.02778,660,0.582688,0.587169,0.579096
100,10152,100,7.25626,36,24,1.00003,0.986763,2427,0,9,24,0.567585,4.66667,660,0.583424,0.591099,0.58042
101,10252,101,7.27477,36,24,1.00003,0.987087,2451,0,9,24,0.566415,4.52778,660,0.584039,0.596127,0.581232
102,10355,102,7.29066,36,24,1.00003,0.987378,2475,0,9,24,0.56682,4.52778,660,0.584832,0.596127,0.58169
103,10461,103,7.28644,36,24,1.00002,0.98764,2499,0,9,24,0.565064,4.91667,660,0.585572,0.598066,0.582511
104,10564,104,7.29358,36,24,1.00002,0.987876,2523,0,9,24,0.563771,4.91667,660,0.585989,0.598066,0.582633
105,10668,105,7.28927,36,24,1.00002,0.988089,2547,0,9,24,0.562428,4.13889,660,0.586682,0.598066,0.582985
106,10770,106,7.26984,36,24,1.00002,0.98828,2571,0,9,24,0.561622,4.47222,660,0.587322,0.598066,0.58345
107,10877,107,7.27276,36,24,1.00001,0.988452,2595,0,9,24,0.559608,4.88889,660,0.587803,0.598066,0.58345
108,10980,108,7.25701,36,24,1.00001,0.988607,2619,0,9,24,0.558496,4.83333,660,0.588895,0.598621,0.58427
109,11089,109,7.23373,36,24,1.00001,0.988746,2643,0,9,24,0.554386,5.08333,660,0.589158,0.598621,0.58427
110,11187,110,7.19389,36,24,1.00001,0.988871,2667,0,9,24,0.555692,4.41667,660,0.590496,0.598621,0.586014
111,11289,111,7.19217,36,24,1.00001,0.988984,2691,0,9,24,0.555673,4.38889,660,0.590929,0.598621,0.586592
112,11399,112,7.15321,36,24,1.00001,0.989086,2715,0,9,24,0.554224,4.05556,660,0.59179,0.602476,0.587169
113,11499,113,7.1718,36,24,1.00001,0.891177,2739,0,9,24,0.552629,4.27778,660,0.591924,0.602476,0.587744
114,11602,114,7.17063,36,24,1.00001,0.90106,2763,0,9,24,0.553931,4,660,0.593333,0.602476,0.589385
