GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.85542,36,24,2,0.99,36,0,0,0,0,0,660,0.442935,987.5,0.480061,984,0.403566,991
1,198,1,7.8111,36,24,1.95,0.99,60,0,0,24,0.755219,1,660,0.459527,987.083,0.480061,984,0.443574,990
2,302,2,7.77656,36,24,1.855,0.99,84,0,0,24,0.758889,1.61111,660,0.46546,987.139,0.480061,984,0.455538,990
3,400,3,7.73592,36,24,1.7695,0.99,108,0,0,24,0.744649,1.94444,660,0.471017,987.167,0.489394,984,0.463339,986
4,495,4,7.67996,36,24,1.69255,0.99,132,0,0,24,0.745148,2.36111,660,0.473742,986.833,0.489394,984,0.467919,985
5,601,5,7.65679,36,24,1.62329,0.99,156,0,0,24,0.723638,2.55556,660,0.476286,987.528,0.489394,984,0.470138,990
6,709,6,7.62221,36,24,1.56097,0.99,180,0,0,24,0.719387,2.58333,660,0.479097,987.194,0.498489,984,0.472477,987
7,814,7,7.61181,36,24,1.50487,0.99,204,0,0,24,0.721694,2.77778,660,0.482294,986.778,0.503012,984,0.475232,986
8,914,8,7.60836,36,24,1.45438,0.99,228,0,0,24,0.720484,2.66667,660,0.486214,986.389,0.503012,984,0.479326,991
9,1022,9,7.60311,36,24,1.40894,0.99,252,0,0,24,0.715947,2.52778,660,0.488688,986.222,0.503012,984,0.48228,981
10,1126,10,7.60558,36,24,1.36805,0.99,276,0,0,24,0.710733,3.19444,660,0.491514,986.639,0.512668,987,0.484067,985
11,1226,11,7.59562,36,24,1.33124,0.99,300,0,0,24,0.711933,2.77778,660,0.494539,987.167,0.512668,987,0.487879,986
12,1335,12,7.56132,36,24,1.29812,0.99,324,0,0,24,0.706742,2.75,660,0.497431,986.722,0.514837,988,0.490854,984
13,1439,13,7.53891,36,24,1.26831,0.99,348,0,0,24,0.701861,3,660,0.499285,986.806,0.514837,988,0.492447,984
14,1547,14,7.49961,36,24,1.24148,0.99,372,0,0,24,0.696979,3.11111,660,0.501608,986.972,0.514837,988,0.495482,984
15,1655,15,7.48479,36,24,1.21733,0.99,396,0,0,24,0.68371,3.72222,660,0.50236,986.917,0.514837,988,0.496988,989
16,1753,16,7.4766,36,24,1.1956,0.99,420,0,0,24,0.678632,3.72222,660,0.504226,987.778,0.520649,988,0.498489,984
17,1855,17,7.42902,36,24,1.17604,0.99,444,0,0,24,0.674478,3.33333,660,0.505539,988.25,0.520649,988,0.5,992
18,1956,18,7.43872,36,24,1.15843,0.99,468,0,0,24,0.673397,3.44444,660,0.507899,987.889,0.520649,988,0.503003,983
19,2058,19,7.45736,36,24,1.14259,0.99,492,0,0,24,0.670061,4.05556,660,0.509342,988.389,0.520649,988,0.504491,990
20,2164,20,7.47769,36,24,1.12833,0.99,516,0,0,24,0.668956,3.38889,660,0.510671,988.861,0.520649,988,0.506706,993
21,2262,21,7.46873,36,24,1.1155,0.99,540,0,0,24,0.666773,3.44444,660,0.512142,989.361,0.520833,989,0.507508,986
22,2366,22,7.46426,36,24,1.10395,0.99,564,0,0,24,0.663279,3.41667,660,0.512834,989.5,0.520833,989,0.508197,991
23,2469,23,7.47028,36,24,1.09355,0.99,588,0,0,24,0.6587,3.63889,660,0.514592,989.528,0.526706,992,0.509658,988
24,2582,24,7.48582,36,24,1.0842,0.99,612,0,0,24,0.656966,3.61111,660,0.516407,989.25,0.526706,992,0.511869,984
25,2685,25,7.48803,36,24,1.07578,0.99,636,0,0,24,0.654906,3.97222,660,0.517472,989.444,0.526706,992,0.51263,988
26,2788,26,7.51037,36,24,1.07199,0.892,660,0,0,24,0.649118,4.11111,660,0.517924,989.5,0.526706,992,0.513353,992
27,2885,27,7.5118,36,24,1.06479,0.9018,684,0,0,24,0.649537,3.19444,660,0.519795,989.528,0.527859,988,0.51632,991
28,2970,28,7.49367,36,24,1.05831,0.91062,707,0,1,24,0.651663,2.91667,660,0.521227,989.278,0.527859,988,0.51791,992
29,3057,29,7.48177,36,24,1.05248,0.918558,731,0,1,24,0.650584,3.16667,660,0.522377,989.278,0.530015,991,0.518629,989
30,3148,30,7.42397,36,24,1.04723,0.925702,755,0,1,24,0.654579,2.83333,660,0.524417,989.056,0.537901,990,0.521355,991
31,3236,31,7.34668,36,24,1.04251,0.932132,779,0,1,24,0.658089,2.69444,660,0.526708,988.5,0.537901,990,0.522895,989
32,3324,32,7.2628,36,24,1.03826,0.937919,803,0,1,24,0.661013,2.75,660,0.528746,988.778,0.537901,992,0.5243,985
33,3410,33,7.33454,36,24,1.03443,0.943127,826,0,2,24,0.663402,2.13889,660,0.530667,989.306,0.543478,990,0.526471,988
34,3501,34,7.29701,36,24,1.03099,0.947814,850,0,2,24,0.66153,2.5,660,0.532591,989.639,0.545586,990,0.528107,991
35,3591,35,7.33265,36,24,1.02789,0.952033,874,0,2,24,0.663153,2.75,660,0.534603,990.306,0.545586,990,0.529586,991
36,3679,36,7.1404,36,24,1.0251,0.95583,898,0,2,24,0.663512,2.58333,660,0.537337,990.222,0.545586,990,0.531387,990
37,3768,37,7.07483,36,24,1.02259,0.959247,922,0,2,24,0.665169,2.83333,660,0.540313,990.25,0.547688,990,0.535088,990
38,3863,38,7.07937,36,24,1.02033,0.962322,946,0,2,24,0.666446,2.83333,660,0.542232,990.667,0.547688,990,0.537901,990
39,3965,39,7.09283,36,24,1.0183,0.96509,970,0,2,24,0.664409,2.77778,660,0.543124,990.5,0.547688,990,0.540146,988
40,4054,40,7.1152,36,24,1.01647,0.967581,994,0,2,24,0.661103,3.13889,660,0.543775,990.694,0.547688,990,0.541485,990
41,4143,41,7.12159,36,24,1.01482,0.969823,1018,0,2,24,0.661554,3.47222,660,0.544845,990.5,0.555079,990,0.542816,990
42,4234,42,7.15105,36,24,1.01334,0.97184,1042,0,2,24,0.661913,3.77778,660,0.546022,990.694,0.555874,990,0.543478,990
43,4324,43,7.1675,36,24,1.01201,0.973656,1066,0,2,24,0.661924,3.52778,660,0.547023,990.889,0.555874,990,0.543732,992
44,4415,44,7.2026,36,24,1.01081,0.975291,1090,0,2,24,0.660583,3.5,660,0.547907,990.833,0.555874,990,0.544396,990
45,4506,45,7.21883,36,24,1.00972,0.976762,1114,0,2,24,0.656128,3.80556,660,0.548364,990.861,0.555874,990,0.545058,992
46,4602,46,7.23506,36,24,1.00875,0.978085,1138,0,2,24,0.654226,3.69444,660,0.549018,990.861,0.555874,990,0.545985,992
47,4701,47,7.24197,36,24,1.00788,0.979277,1162,0,2,24,0.653439,3.63889,660,0.54978,990.917,0.555874,990,0.547033,987
48,4792,48,7.24846,36,24,1.00709,0.980349,1186,0,2,24,0.652683,3.91667,660,0.5506,990.722,0.557307,990,0.547688,990
49,4883,49,7.26233,36,24,1.00638,0.981314,1210,0,2,24,0.653908,3.58333,660,0.552593,990.278,0.560801,990,0.548621,993
50,4976,50,7.27022,36,24,1.00574,0.982183,1234,0,2,24,0.650637,3.83333,660,0.553771,990.167,0.562857,990,0.549784,990
51,5075,51,7.29976,36,24,1.00517,0.982965,1258,0,2,24,0.649639,3.75,660,0.554475,990.194,0.562857,990,0.550725,992
52,5174,52,7.30049,36,24,1.00465,0.983668,1282,0,2,24,0.649271,3.27778,660,0.555383,989.75,0.562857,990,0.552023,992
53,5275,53,7.32243,36,24,1.00419,0.984301,1306,0,2,24,0.646403,3.61111,660,0.556118,990.028,0.562857,990,0.55267,992
54,5370,54,7.32308,36,24,1.00377,0.984871,1330,0,2,24,0.645277,3.61111,660,0.556994,989.972,0.562857,990,0.553802,987
55,5472,55,7.32401,36,24,1.00339,0.985384,1354,0,2,24,0.64463,4.13889,660,0.557935,990,0.565527,990,0.554441,987
56,5578,56,7.32289,36,24,1.00305,0.985846,1378,0,2,24,0.641512,4.33333,660,0.558834,990.222,0.566761,990,0.555079,987
57,5675,57,7.29779,36,24,1.00275,0.986261,1402,0,2,24,0.639828,4.36111,660,0.559447,990.444,0.566761,990,0.556509,990
58,5774,58,7.29961,36,24,1.00247,0.986635,1426,0,2,24,0.638066,4.22222,660,0.560287,990.306,0.566761,990,0.55698,987
59,5870,59,7.29786,36,24,1.00222,0.986971,1450,0,2,24,0.636572,4.05556,660,0.560836,990.306,0.566761,990,0.557775,987
