GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.85542,36,24,2,0.99,36,0,0,0,0,0,660,987.5,992,978
1,201,1,7.808,36,24,1.95,0.99,60,0,0,24,0.748262,1,660,989.528,992,988
2,305,2,7.78758,36,24,1.855,0.99,84,0,0,24,0.729284,1.72222,660,990.139,992,989
3,400,3,7.7615,36,24,1.7695,0.99,108,0,0,24,0.697071,2.27778,660,990.556,992,990
4,496,4,7.74979,36,24,1.69255,0.99,132,0,0,24,0.696126,3.08333,660,990.722,992,990
5,597,5,7.75167,36,24,1.62329,0.99,156,0,0,24,0.679711,3.27778,660,991,992,990
6,701,6,7.74117,36,24,1.56097,0.99,180,0,0,24,0.677309,3.30556,660,991.222,992,991
7,805,7,7.73578,36,24,1.50487,0.99,204,0,0,24,0.672827,4.22222,660,991.306,992,991
8,905,8,7.74033,36,24,1.45438,0.99,228,0,0,24,0.65498,5.05556,660,991.389,992,991
9,1011,9,7.73406,36,24,1.40894,0.99,252,0,0,24,0.638455,5.83333,660,991.444,992,991
10,1113,10,7.71076,36,24,1.36805,0.99,276,0,0,24,0.63609,6.11111,660,991.583,992,991
11,1210,11,7.70556,36,24,1.33124,0.99,300,0,0,24,0.637506,5.32432,660,991.703,992,991
12,1323,12,7.6356,36,24,1.29812,0.99,324,0,0,24,0.635563,4.10811,660,991.919,992,991
13,1425,13,7.62189,36,24,1.26831,0.99,348,0,0,24,0.631019,4.27027,660,992,992,992
14,1531,14,7.63587,36,24,1.24148,0.99,372,0,0,24,0.627127,4.97297,660,992,992,992
15,1640,15,7.65741,36,24,1.21733,0.99,396,0,0,24,0.626855,5.25,660,992.028,993,992
16,1746,16,7.65798,36,24,1.1956,0.99,420,0,0,24,0.62669,5.97222,660,992.028,993,992
17,1850,17,7.64247,36,24,1.17604,0.99,444,0,0,24,0.623058,6.13889,660,992.056,993,992
18,1949,18,7.6509,36,24,1.15843,0.99,468,0,0,24,0.619196,6.30556,660,992.056,993,992
19,2048,19,7.6579,36,24,1.14259,0.99,492,0,0,24,0.619196,6.75,660,992.056,993,992
20,2151,20,7.67367,36,24,1.12833,0.99,516,0,0,24,0.617272,6.36111,660,992.083,993,992
21,2251,21,7.67397,36,24,1.1155,0.99,540,0,0,24,0.617389,5.41667,660,992.139,993,992
22,2355,22,7.67708,36,24,1.10395,0.99,564,0,0,24,0.622033,3.91667,660,992.222,994,992
23,2456,23,7.67503,36,24,1.09355,0.99,588,0,0,24,0.618316,4.08333,660,992.25,994,992
24,2556,24,7.6635,36,24,1.0842,0.99,612,0,0,24,0.617537,4.69444,660,992.361,994,992
25,2652,25,7.66018,36,24,1.07578,0.99,636,0,0,24,0.619245,5.05556,660,992.444,994,992
26,2757,26,7.63953,36,24,1.0682,0.99,660,0,0,24,0.616815,5.33333,660,992.583,994,992
27,2858,27,7.60444,36,24,1.06138,0.99,684,0,0,24,0.615524,5.19444,660,992.694,994,992
28,2957,28,7.57836,36,24,1.05524,0.99,708,0,0,24,0.613027,4.97222,660,992.833,994,992
29,3059,29,7.52038,36,24,1.04972,0.99,732,0,0,24,0.612969,4.72222,660,993,994,992
30,3163,30,7.51872,36,24,1.04475,0.99,756,0,0,24,0.609124,4.61111,660,993.083,994,993
31,3266,31,7.52562,36,24,1.04027,0.99,780,0,0,24,0.608499,5.05556,660,993.111,994,993
32,3364,32,7.50901,36,24,1.03624,0.99,804,0,0,24,0.604343,5.64865,660,993.108,994,993
33,3466,33,7.50969,36,24,1.03262,0.99,828,0,0,24,0.605495,6.35135,660,993.108,994,993
34,3565,34,7.51821,36,24,1.03099,0.99,852,0,0,24,0.601525,6.24324,660,993.108,994,993
35,3663,35,7.52186,36,24,1.02789,0.99,876,0,0,24,0.602608,6.40541,660,993.108,994,993
36,3766,36,7.51563,36,24,1.0251,0.99,900,0,0,24,0.60149,6.02703,660,993.108,994,993
37,3866,37,7.53851,36,24,1.02259,0.99,924,0,0,24,0.59901,5.64865,660,993.108,994,993
38,3969,38,7.54361,36,24,1.02033,0.99,948,0,0,24,0.597202,5.27027,660,993.108,994,993
39,4071,39,7.55922,36,24,1.0183,0.99,972,0,0,24,0.59437,4.89189,660,993.081,994,993
40,4167,40,7.54488,36,24,1.01647,0.99,996,0,0,24,0.593095,4.78378,660,993.081,994,993
41,4264,41,7.53842,36,24,1.01482,0.99,1020,0,0,24,0.590578,5.21622,660,993.054,994,993
42,4371,42,7.54109,36,24,1.01334,0.99,1044,0,0,24,0.589664,5.64865,660,993.054,994,993
43,4471,43,7.54346,36,24,1.01201,0.99,1068,0,0,24,0.589905,6.35135,660,993.054,994,993
44,4567,44,7.54162,36,24,1.01081,0.99,1092,0,0,24,0.589425,6.24324,660,993.054,994,993
45,4669,45,7.5618,36,24,1.00972,0.99,1116,0,0,24,0.591257,6.40541,660,993.054,994,993
46,4771,46,7.55925,36,24,1.00875,0.99,1140,0,0,24,0.591479,6.02703,660,993.054,994,993
47,4882,47,7.55689,36,24,1.00788,0.892,1164,0,0,24,0.59009,5.64865,660,993.054,994,993
48,4970,48,7.52955,36,24,1.00748,0.892,1188,0,0,24,0.590732,5.27027,660,993.054,994,993
49,5057,49,7.54394,36,24,1.00673,0.9018,1212,0,0,24,0.591917,4.89189,660,993.081,994,993
50,5143,50,7.54548,36,24,1.00606,0.91062,1236,0,0,24,0.594253,4.78378,660,993.108,994,993
51,5227,51,7.56395,36,24,1.00546,0.918558,1260,0,0,24,0.596278,5.21622,660,993.162,994,993
52,5314,52,7.57118,36,24,1.00491,0.925702,1284,0,0,24,0.597191,5.64865,660,993.189,994,993
53,5399,53,7.57209,36,24,1.00442,0.932132,1308,0,0,24,0.598766,6.08108,660,993.324,994,993
54,5487,54,7.54569,36,24,1.00398,0.937919,1332,0,0,24,0.599291,5.97297,660,993.432,994,993
55,5577,55,7.48818,36,24,1.00358,0.943127,1356,0,0,24,0.600396,5.81081,660,993.541,994,993
56,5667,56,7.36256,36,24,1.00322,0.947814,1380,0,0,24,0.601623,5.05405,660,993.73,994,993
57,5753,57,6.99733,36,24,1.0029,0.952033,1404,0,0,24,0.602484,3.45946,660,994,994,994
58,5842,58,6.99733,36,24,1.00261,0.95583,1428,0,0,24,0.60474,4.43243,660,994,994,994
59,5931,59,6.99919,36,24,1.00235,0.959247,1452,0,0,24,0.60707,5.13514,660,994,994,994
60,6018,60,7.00103,36,24,1.00211,0.962322,1476,0,0,24,0.692995,5.83784,660,994,994,994
61,6107,61,7.00361,36,24,1.0019,0.96509,1500,0,0,24,0.700951,6.27027,660,994,994,994
