GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.30899,36,24,2,0.99,36,0,0,0,0,0,98,992.389,9856.92,995,9854,987,9865
1,90,1,7.25506,36,24,1.9,0.99,60,0,0,24,0.780461,1,98,993.722,9856.17,995,9860,992,9864
2,129,2,7.25116,36,24,1.81,0.99,84,0,0,24,0.768977,1.63889,98,994.306,9856.47,996,9854,993,9860
3,166,3,7.2423,36,24,1.729,0.99,108,0,0,24,0.727007,2.16667,98,994.5,9857.44,996,9854,994,9855
4,204,4,7.22051,36,24,1.6561,0.99,132,0,0,24,0.707788,2.66667,98,994.694,9857.25,996,9854,994,9859
5,242,5,7.19979,36,24,1.59049,0.99,156,0,0,24,0.67352,3,98,994.889,9855.86,996,9854,994,9861
6,280,6,7.17952,36,24,1.53144,0.99,180,0,0,24,0.643909,3.58333,98,995.056,9854.33,996,9854,994,9864
7,319,7,7.17445,36,24,1.4783,0.99,204,0,0,24,0.633885,3.63889,98,995.139,9856.06,996,9854,995,9852
8,358,8,7.17291,36,24,1.43047,0.99,228,0,0,24,0.627015,4.25,98,995.194,9856.56,996,9856,995,9854
9,397,9,7.1637,36,24,1.38742,0.99,252,0,0,24,0.610686,4.44444,98,995.25,9857.03,996,9856,995,9855
10,437,10,7.17519,36,24,1.34868,0.99,276,0,0,24,0.602574,4.75,98,995.278,9857.25,996,9856,995,9856
11,477,11,7.14623,36,24,1.31381,0.99,300,0,0,24,0.583357,4.91667,98,995.361,9857.14,996,9856,995,9857
12,515,12,7.16312,36,24,1.28243,0.99,324,0,0,24,0.581038,4.80556,98,995.361,9857.11,996,9856,995,9857
13,552,13,7.17544,36,24,1.25419,0.99,348,0,0,24,0.571701,5.16667,98,995.472,9856.5,997,9852,995,9857
14,591,14,7.15771,36,24,1.22877,0.99,372,0,0,24,0.56883,4.77778,98,995.528,9856.61,997,9852,995,9858
15,629,15,7.14259,36,24,1.20589,0.99,395,0,1,24,0.566275,4.72222,98,995.639,9856.31,997,9852,995,9859
16,667,16,7.15148,36,24,1.1853,0.99,419,0,1,24,0.556526,4.86111,98,995.667,9856.33,997,9852,995,9860
17,706,17,7.14939,36,24,1.16677,0.99,443,0,1,24,0.54909,5.02778,98,995.667,9856.39,997,9852,995,9856
18,745,18,7.15499,36,24,1.15009,0.99,467,0,1,24,0.541586,5.44444,98,995.694,9856.39,997,9852,995,9859
19,784,19,7.15392,36,24,1.13509,0.892,491,0,1,24,0.534261,5.55556,98,995.75,9855.5,997,9852,995,9860
20,819,20,7.07503,36,24,1.12158,0.9018,514,0,2,24,0.539285,4.38889,98,996.028,9853.56,997,9852,996,9843
21,854,21,7.00083,36,24,1.10942,0.91062,537,0,3,24,0.542607,3.88889,98,996.028,9855.5,997,9852,996,9852
