GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.30899,36,24,2,0.99,36,0,0,0,0,0,98,992.611,995,987
1,72,1,7.26513,36,24,1.9,0.99,60,0,0,24,0.753123,1,98,993.778,995,993
2,103,2,7.27571,36,24,1.81,0.99,84,0,0,24,0.692056,1.77778,98,994.111,996,993
3,133,3,7.26043,36,24,1.729,0.99,108,0,0,24,0.688067,2.27778,98,994.528,996,994
4,163,4,7.25549,36,24,1.6561,0.99,132,0,0,24,0.682655,3.05556,98,994.694,996,994
5,194,5,7.23999,36,24,1.59049,0.99,156,0,0,24,0.646039,3.58333,98,994.833,996,994
6,224,6,7.22844,36,24,1.53144,0.892,180,0,0,24,0.599442,4.30556,98,994.889,996,994
7,251,7,7.15793,36,24,1.4783,0.9018,204,0,0,24,0.603483,4.30556,98,995.111,996,995
8,277,8,7.16236,36,24,1.43047,0.91062,228,0,0,24,0.601713,5.25,98,995.167,996,995
9,306,9,7.1418,36,24,1.38742,0.918558,252,0,0,24,0.600931,6.05556,98,995.25,996,995
10,334,10,7.06693,36,24,1.34868,0.925702,276,0,0,24,0.60901,6.38889,98,995.389,996,995
11,361,11,6.97426,36,24,1.31381,0.932132,300,0,0,24,0.607646,4.88889,98,995.472,996,995
12,388,12,6.92072,36,24,1.28243,0.937919,324,0,0,24,0.605368,5.18919,98,995.568,996,995
13,416,13,6.83609,36,24,1.25419,0.943127,348,0,0,24,0.60749,4.75676,98,995.703,996,995
14,444,14,6.67007,36,24,1.22877,0.947814,372,0,0,24,0.603022,4.10811,98,995.865,996,995
15,471,15,6.51778,36,24,1.20589,0.952033,396,0,0,24,0.604736,4.37838,98,996,996,996
16,499,16,6.51778,36,24,1.1853,0.95583,420,0,0,24,0.601012,5.35135,98,996,996,996
17,527,17,6.51376,36,24,1.16677,0.959247,444,0,0,24,0.594842,5.78378,98,996,996,996
18,555,18,6.54437,36,24,1.15009,0.962322,467,0,1,24,0.594568,6.21622,98,996,996,996
